original_text,original_sentiment,original_neg_score,original_pos_score,insert_text,insert_sentiment,insert_neg_score,insert_pos_score,res_text,res_sentiment,res_neg_score,res_pos_score,index,group_no
I'm not suggesting that you see it .,0,0.9877496361732483,0.01225036382675171,not,0,0.98103928565979,0.01896071434020996,I'm not suggesting that you not see it .,1,0.159267246723175,0.840732753276825,3386,9
Despite some criticism the film is a huggy .,1,0.1390577554702759,0.8609422445297241,bit,1,0.3290604948997498,0.6709395051002502,Despite some criticism the film is a bit huggy .,1,0.4488909840583801,0.5511090159416199,4072,10
Despite some gulps the film is a huggy .,1,0.301930844783783,0.698069155216217,bit,1,0.3290604948997498,0.6709395051002502,Despite some gulps the film is a bit huggy .,0,0.8158531188964844,0.1841468811035156,4075,11
""" an american film about researchers quietly reading dusty old letters .",1,0.1337599754333496,0.8662400245666504,"""",1,0.07702571153640747,0.9229742884635925,""" an american film about researchers quietly reading dusty old letters . """,1,0.3115645051002502,0.6884354948997498,4117,12
""" an american film about researchers quietly reading dusty old books .",1,0.203693151473999,0.796306848526001,"""",1,0.07702571153640747,0.9229742884635925,""" an american film about researchers quietly reading dusty old books . """,1,0.4730108380317688,0.5269891619682312,4122,13
""" an entire film about researchers quietly reading through old letters .",1,0.07132714986801147,0.9286728501319885,"""",1,0.07702571153640747,0.9229742884635925,""" an entire film about researchers quietly reading through old letters . """,1,0.1925684809684753,0.8074315190315247,4127,14
"Theology aside , why put someone ?",0,0.9738438129425049,0.02615618705749512,who ultimately does n't is at the center of a kids ' story,0,0.9252008199691772,0.07479918003082275,"Theology aside , why put someone who ultimately doesn't is at the center of a kids ' story ?",1,0.1021026372909546,0.8978973627090454,4538,15
Benefits from a better performance from zhao .,1,0.146848201751709,0.853151798248291,but it 's dong jie 's face,1,0.07632964849472046,0.9236703515052795,"Benefits from a better performance from zhao , but i's dong jie 's face .",1,0.4961903691291809,0.5038096308708191,4565,16
it's a lovers-on-the-run crime flick .,1,0.2406433820724487,0.7593566179275513,On the surface,1,0.1511170268058777,0.8488829731941223,"On the surface , it's a lovers-on-the-run crime flick .",1,0.4044635891914368,0.5955364108085632,4655,17
it's a lovers-on-the-run crime flick .,1,0.2406433820724487,0.7593566179275513,On the outside,1,0.4673311710357666,0.5326688289642334,"On the outside , it's a lovers-on-the-run crime flick .",0,0.6828460097312927,0.3171539902687073,4658,17
it's a lovers-on-the-run crime flick .,1,0.2406433820724487,0.7593566179275513,On the surface,1,0.1511170268058777,0.8488829731941223,"On the surface , it's a lovers-on-the-run crime flick .",1,0.4044635891914368,0.5955364108085632,4659,17
"An intimate , earnest , intimate film that drops the ball only .",0,0.5245967507362366,0.4754032492637634,when it calls for blunt exposition,0,0.9636133909225464,0.03638660907745361,"An intimate , earnest , intimate film that drops the ball only when it calls for blunt exposition .",1,0.06705671548843384,0.9329432845115662,5191,18
"An intimate , earnest , intimate film that drops the ball only .",0,0.5245967507362366,0.4754032492637634,when it pauses for blunt exposition,0,0.9792308211326599,0.02076917886734009,"An intimate , earnest , intimate film that drops the ball only when it pauses for blunt exposition .",1,0.0364341139793396,0.9635658860206604,5192,18
"An intimate , earnest , intimate film that drops the ball only .",0,0.5245967507362366,0.4754032492637634,when it pauses for an exposition,0,0.9553897976875305,0.04461020231246948,"An intimate , earnest , intimate film that drops the ball only when it pauses for an exposition .",1,0.0274919867515564,0.9725080132484436,5193,18
"An intimate , earnest , intimate film that drops the ball only .",0,0.5245967507362366,0.4754032492637634,when it pauses for further exposition,0,0.9475070834159851,0.05249291658401489,"An intimate , earnest , intimate film that drops the ball only when it pauses for further exposition .",1,0.03005188703536987,0.9699481129646301,5194,18
"An intimate , earnest , intimate film that drops the ball only .",0,0.5245967507362366,0.4754032492637634,when it pauses for the exposition,0,0.9493688344955444,0.05063116550445557,"An intimate , earnest , intimate film that drops the ball only when it pauses for the exposition .",1,0.02672135829925537,0.9732786417007446,5195,18
"An intimate , earnest , intimate film that drops the ball only .",0,0.5245967507362366,0.4754032492637634,when it pauses for its exposition,0,0.9447903037071228,0.0552096962928772,"An intimate , earnest , intimate film that drops the ball only when it pauses for its exposition .",1,0.02516943216323853,0.9748305678367615,5196,18
"An intimate , earnest , intimate film that drops the ball only .",0,0.5245967507362366,0.4754032492637634,when it pauses for blunt effect,0,0.9871899485588074,0.01281005144119263,"An intimate , earnest , intimate film that drops the ball only when it pauses for blunt effect .",1,0.04403316974639893,0.9559668302536011,5197,18
"An intelligent , earnest , intimate film that drops the ball only .",1,0.3730638027191162,0.6269361972808838,when it calls for blunt exposition,0,0.9636133909225464,0.03638660907745361,"An intelligent , earnest , intimate film that drops the ball only when it calls for blunt exposition .",1,0.03996634483337402,0.960033655166626,5205,19
"An intelligent , earnest , intimate film that drops the ball only .",1,0.3730638027191162,0.6269361972808838,when it pauses for blunt exposition,0,0.9792308211326599,0.02076917886734009,"An intelligent , earnest , intimate film that drops the ball only when it pauses for blunt exposition .",1,0.02247524261474609,0.9775247573852539,5206,19
"An intelligent , earnest , intimate film that drops the ball only .",1,0.3730638027191162,0.6269361972808838,when it pauses for an exposition,0,0.9553897976875305,0.04461020231246948,"An intelligent , earnest , intimate film that drops the ball only when it pauses for an exposition .",1,0.01784402132034302,0.982155978679657,5207,19
"An intelligent , earnest , intimate film that drops the ball only .",1,0.3730638027191162,0.6269361972808838,when it pauses for further exposition,0,0.9475070834159851,0.05249291658401489,"An intelligent , earnest , intimate film that drops the ball only when it pauses for further exposition .",1,0.0186312198638916,0.9813687801361084,5208,19
"a sucker , martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.2204856276512146,0.7795143723487854,If you 're like me,1,0.09144693613052368,0.9085530638694763,"If you're like me , a sucker martha offers all the perfect ingredients to more than satisfy your appetite .",0,0.7010888457298279,0.2989111542701721,6125,20
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6136,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6137,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6141,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to cook , then mostly",1,0.1866093873977661,0.8133906126022339,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to cook , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1611698865890503,0.8388301134109497,6142,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6143,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6146,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6149,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6150,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6154,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to cook , then mostly",1,0.1866093873977661,0.8133906126022339,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to cook , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1611698865890503,0.8388301134109497,6155,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6156,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6159,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6162,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6163,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6167,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to cook , then mostly",1,0.1866093873977661,0.8133906126022339,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to cook , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1611698865890503,0.8388301134109497,6168,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6169,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6172,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6175,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6176,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6180,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to cook , then mostly",1,0.1866093873977661,0.8133906126022339,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to cook , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1611698865890503,0.8388301134109497,6181,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6182,21
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6185,21
"If you're like me , a sucker for a good old fashioned romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.043099045753479,0.956900954246521,"and someone who really loves to eat , then mostly",1,0.02640855312347412,0.9735914468765259,"If you're like me , a sucker for a good old fashioned romance and someone who really loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1484028697013855,0.8515971302986145,6187,22
"If you're like me , a sucker for a good old fashioned romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.043099045753479,0.956900954246521,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashioned romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.2080900073051453,0.7919099926948547,6188,22
"If you're like me , a sucker for a good old fashioned romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.043099045753479,0.956900954246521,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashioned romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.2080900073051453,0.7919099926948547,6189,22
"If you're like me , a sucker for a good old fashioned romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.043099045753479,0.956900954246521,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashioned romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.2080900073051453,0.7919099926948547,6193,22
"If you're like me , a sucker for a good old fashioned romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.043099045753479,0.956900954246521,"and someone who shamelessly loves to cook , then mostly",1,0.1866093873977661,0.8133906126022339,"If you're like me , a sucker for a good old fashioned romance and someone who shamelessly loves to cook , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1833073496818542,0.8166926503181458,6194,22
"If you're like me , a sucker for a good old fashioned romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.043099045753479,0.956900954246521,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashioned romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.2080900073051453,0.7919099926948547,6195,22
"If you're like me , a sucker for a good old fashioned romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.043099045753479,0.956900954246521,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashioned romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.2080900073051453,0.7919099926948547,6198,22
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6201,23
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6202,23
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6206,23
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to cook , then mostly",1,0.1866093873977661,0.8133906126022339,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to cook , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1611698865890503,0.8388301134109497,6207,23
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6208,23
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6211,23
"If you're like me , a sucker for a good old fashion . martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.03363007307052612,0.9663699269294739,"and someone who just loves to eat , then mostly",1,0.0667802095413208,0.9332197904586792,"If you're like me , a sucker for a good old fashion . and someone who just loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.2773821353912354,0.7226178646087646,6212,24
"If you're like me , a sucker for a good old fashion . martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.03363007307052612,0.9663699269294739,"and someone who really loves to eat , then mostly",1,0.02640855312347412,0.9735914468765259,"If you're like me , a sucker for a good old fashion . and someone who really loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.3081546425819397,0.6918453574180603,6213,24
"If you're like me , a sucker for a good old fashion . martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.03363007307052612,0.9663699269294739,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion . and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.4586736559867859,0.5413263440132141,6214,24
"If you're like me , a sucker for a good old fashion . martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.03363007307052612,0.9663699269294739,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion . and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.4586736559867859,0.5413263440132141,6218,24
"If you're like me , a sucker for a good old fashion . martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.03363007307052612,0.9663699269294739,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion . and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.4586736559867859,0.5413263440132141,6219,24
"If you're like me , a sucker for a good old fashion . martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.03363007307052612,0.9663699269294739,"and someone who shamelessly loves to cook , then mostly",1,0.1866093873977661,0.8133906126022339,"If you're like me , a sucker for a good old fashion . and someone who shamelessly loves to cook , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.4725784659385681,0.5274215340614319,6220,24
"If you're like me , a sucker for a good old fashion . martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.03363007307052612,0.9663699269294739,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion . and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.4586736559867859,0.5413263440132141,6221,24
"If you're like me , a sucker for a good old fashion . martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.03363007307052612,0.9663699269294739,"and someone who shamelessly loves to eat , then aunt",1,0.1642621159553528,0.8357378840446472,"If you're like me , a sucker for a good old fashion . and someone who shamelessly loves to eat , then aunt martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1578579545021057,0.8421420454978943,6222,24
"If you're like me , a sucker for a good old fashion . martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.03363007307052612,0.9663699269294739,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion . and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.4586736559867859,0.5413263440132141,6224,24
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6227,25
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.02771133184432983,0.9722886681556702,"and someone who shamelessly loves to eat , then mostly",1,0.4134511351585388,0.5865488648414612,"If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",1,0.1664711833000183,0.8335288166999817,6228,25
