context,origin,origin_ans,new,new_ans,answers,origin_result,result,origin_token,replaced_token
"""Dynamic equilibrium was first described by Galileo who noticed that certain assumptions of Aristotelian physics were contradicted by observations and logic. Galileo realized that simple velocity addition demands that the concept of an """"absolute rest frame"""" did not exist. Galileo concluded that motion in a constant velocity was completely equivalent to rest. This was contrary to Aristotle's notion of a """"natural state"""" of rest that objects with mass naturally approached. Simple experiments showed that Galileo's understanding of the equivalence of constant velocity and rest were correct. For example, if a mariner dropped a cannonball from the crow's nest of a ship moving at a constant velocity, Aristotelian physics would have the cannonball fall straight down while the ship moved beneath it. Thus, in an Aristotelian universe, the falling cannonball would land behind the foot of the mast of a moving ship. However, when this experiment is actually conducted, the cannonball always falls at the foot of the mast, as if the cannonball knows to travel with the ship despite being separated from it. Since there is no forward horizontal force being applied on the cannonball as it falls, the only conclusion left is that the cannonball continues to move with the same velocity as the boat as it falls. Thus, no force is required to keep the cannonball moving at the constant forward velocity.""",What does motion at a constant velocity equal ?,Motion at a constant velocity equals rest.,What does motion at a ceaseless velocity equal ?,No answer.,"['rest', 'rest', 'rest', 'rest', 'rest']",1,0,constant,ceaseless
"Many locals and tourists frequent the southern California coast for its popular beaches, and the desert city of Palm Springs is popular for its resort feel and nearby open spaces.","Other than for its resort feel , what is Palm Springs popular for ?",Palm Springs is popular for its nearby open spaces.,"Other than for its resort sense , what is Palm Springs popular for ?",No Answer.,"['open spaces', 'nearby open spaces', 'nearby open spaces']",1,0,feel,sense
"Notable alumni in the field of government and politics include the founder of modern community organizing Saul Alinsky, Obama campaign advisor and top political advisor to President Bill Clinton David Axelrod, Attorney General and federal judge Robert Bork, Attorney General Ramsey Clark, Prohibition agent Eliot Ness, Supreme Court Justice John Paul Stevens, Prime Minister of Canada William Lyon Mackenzie King, 11th Prime Minister of Poland Marek Belka, Governor of the Bank of Japan Masaaki Shirakawa, the first female African-American Senator Carol Moseley Braun, United States Senator from Vermont and 2016 Democratic Presidential Candidate Bernie Sanders, and former World Bank President Paul Wolfowitz.",What prohibition agent was also an alumni at the university ?,Eliot Ness.,What prohibition agent was likewise an alumni at the university ?,No answer.,"['Eliot Ness', 'Eliot Ness', 'Eliot Ness']",1,0,also,likewise
"2013 Economics Nobel prize winner Robert J. Shiller said that rising inequality in the United States and elsewhere is the most important problem. Increasing inequality harms economic growth. High and persistent unemployment, in which inequality increases, has a negative effect on subsequent long-run economic growth. Unemployment can harm growth not only because it is a waste of resources, but also because it generates redistributive pressures and subsequent distortions, drives people to poverty, constrains liquidity limiting labor mobility, and erodes self-esteem promoting social dislocation, unrest and conflict. Policies aiming at controlling unemployment and in particular at reducing its inequality-associated effects support economic growth.",Persistent unemployment has what effect on long-term economic growth ?,Persistent unemployment has a negative effect on long-term economic growth.,Persistent unemployment has what effect on long-term economic emergence ?,There is no specific information in the text regarding the effect of persistent unemployment on long-term economic emergence.,"['negative', 'negative effect', 'negative']",1,0,growth,emergence
"Under the terms of the Scotland Act 1978, an elected assembly would be set up in Edinburgh provided that the majority of the Scottish electorate voted for it in a referendum to be held on 1 March 1979 that represented at least 40% of the total electorate. The 1979 Scottish devolution referendum to establish a devolved Scottish Assembly failed. Although the vote was 51.6% in favour of a Scottish Assembly, this figure did not equal the 40% of the total electorate threshold deemed necessary to pass the measure, as 32.9% of the eligible voting population did not, or had been unable to, vote.",How did trying to establish a devolved Scottish Assembly go in 1979 ?,The attempt to establish a devolved Scottish Assembly in 1979 failed because it did not meet the requirement of at least 40% of the total electorate voting in favor of it.,How did trying to establish a devolved Scottish Assembly start in 1979 ?,"In 1979, the attempt to establish a devolved Scottish Assembly started with the terms of the Scotland Act 1978, which stated that an elected assembly would be set up in Edinburgh if the majority of the Scottish electorate voted for it in a referendum.","['failed', 'failed', 'failed']",1,0,go,start
"There are fifteen fraternities and seven sororities at the University of Chicago, as well as one co-ed community service fraternity, Alpha Phi Omega. Four of the sororities are members of the National Panhellenic Conference, and ten of the fraternities form the University of Chicago Interfraternity Council. In 2002, the Associate Director of Student Activities estimated that 8–10 percent of undergraduates were members of fraternities or sororities. The student activities office has used similar figures, stating that one in ten undergraduates participate in Greek life.",How many fraternities are apart of the university ?,There are fifteen fraternities at the University of Chicago.,How many fraternities are aside of the university ?,No answer.,"['fifteen', 'fifteen', 'fifteen']",1,0,apart,aside
"There were 158,349 households, of which 68,511 (43.3%) had children under the age of 18 living in them, 69,284 (43.8%) were opposite-sex married couples living together, 30,547 (19.3%) had a female householder with no husband present, 11,698 (7.4%) had a male householder with no wife present. There were 12,843 (8.1%) unmarried opposite-sex partnerships, and 1,388 (0.9%) same-sex married couples or partnerships. 35,064 households (22.1%) were made up of individuals and 12,344 (7.8%) had someone living alone who was 65 years of age or older. The average household size was 3.07. There were 111,529 families (70.4% of all households); the average family size was 3.62.",What was the average family size ?,The average family size was 3.62.,What was the mean family size ?,The text does not provide the mean family size.,"['3.62', '3.62', '3.62']",1,0,average,mean
"Notable alumni in the field of government and politics include the founder of modern community organizing Saul Alinsky, Obama campaign advisor and top political advisor to President Bill Clinton David Axelrod, Attorney General and federal judge Robert Bork, Attorney General Ramsey Clark, Prohibition agent Eliot Ness, Supreme Court Justice John Paul Stevens, Prime Minister of Canada William Lyon Mackenzie King, 11th Prime Minister of Poland Marek Belka, Governor of the Bank of Japan Masaaki Shirakawa, the first female African-American Senator Carol Moseley Braun, United States Senator from Vermont and 2016 Democratic Presidential Candidate Bernie Sanders, and former World Bank President Paul Wolfowitz.",What prohibition agent was also an alumni at the university ?,Eliot Ness.,What prohibition agent was besides an alumni at the university ?,No answer.,"['Eliot Ness', 'Eliot Ness', 'Eliot Ness']",1,0,also,besides
"""In cases where the criminalized behavior is pure speech, civil disobedience can consist simply of engaging in the forbidden speech. An example would be WBAI's broadcasting the track """"Filthy Words"""" from a George Carlin comedy album, which eventually led to the 1978 Supreme Court case of FCC v. Pacifica Foundation. Threatening government officials is another classic way of expressing defiance toward the government and unwillingness to stand for its policies. For example, Joseph Haas was arrested for allegedly sending an email to the Lebanon, New Hampshire city councilors stating, """"Wise up or die.""""""",What is one way to use pure speech to reach as much people as possible to protest ?,"One way to use pure speech to reach as many people as possible to protest is through broadcasting or public speaking platforms like radio, television, or public rallies.",What is one way to use pure speech to attain as much people as possible to protest ?,"One way to use pure speech to reach as many people as possible to protest is through forms of mass communication such as social media, online platforms, or public demonstrations.","['broadcasting', 'engaging in the forbidden speech', 'broadcasting', 'broadcasting']",1,0,reach,attain
"The first European to travel the length of the Amazon River was Francisco de Orellana in 1542. The BBC's Unnatural Histories presents evidence that Orellana, rather than exaggerating his claims as previously thought, was correct in his observations that a complex civilization was flourishing along the Amazon in the 1540s. It is believed that the civilization was later devastated by the spread of diseases from Europe, such as smallpox. Since the 1970s, numerous geoglyphs have been discovered on deforested land dating between AD 0–1250, furthering claims about Pre-Columbian civilizations. Ondemar Dias is accredited with first discovering the geoglyphs in 1977 and Alceu Ranzi with furthering their discovery after flying over Acre. The BBC's Unnatural Histories presented evidence that the Amazon rainforest, rather than being a pristine wilderness, has been shaped by man for at least 11,000 years through practices such as forest gardening and terra preta.",For how many years was evidence shown that humans shaped the the Amazon ?,"At least 11,000 years.",For how many years was evidence demonstrated that humans shaped the the Amazon ?,No Answer.,"['11,000 years', 'at least 11,000 years', 'at least 11,000 years']",1,0,shown,demonstrated
"""According to International Monetary Fund economists, inequality in wealth and income is negatively correlated with the duration of economic growth spells (not the rate of growth). High levels of inequality prevent not just economic prosperity, but also the quality of a country's institutions and high levels of education. According to IMF staff economists, """"if the income share of the top 20 percent (the rich) increases, then GDP growth actually declines over the medium term, suggesting that the benefits do not trickle down. In contrast, an increase in the income share of the bottom 20 percent (the poor) is associated with higher GDP growth. The poor and the middle class matter the most for growth via a number of interrelated economic, social, and political channels.""""""",What does an decrease in the income share of the bottom 20 percent of people of a society result in ?,No Answer,What does an decrease in the income share of the bottom 20 percentage of people of a society result in ?,An decrease in the income share of the bottom 20 percent of people in a society is associated with lower GDP growth.,[],1,0,percent,percentage
"Reserved matters are subjects that are outside the legislative competence of the Scotland Parliament. The Scottish Parliament is unable to legislate on such issues that are reserved to, and dealt with at, Westminster (and where Ministerial functions usually lie with UK Government ministers). These include abortion, broadcasting policy, civil service, common markets for UK goods and services, constitution, electricity, coal, oil, gas, nuclear energy, defence and national security, drug policy, employment, foreign policy and relations with Europe, most aspects of transport safety and regulation, National Lottery, protection of borders, social security and stability of UK's fiscal, economic and monetary system.",Issues dealt with at Westminster are not ones who is able to deal with ?,The Scottish Parliament is not able to legislate on issues that are reserved to Westminster.,Issues dealt with at Westminster are not ones who is able to take with ?,"I'm sorry, but I'm still not sure what you mean by ""ones who is able to take with."" Could you please rephrase or provide more context for your question?","['Scottish Parliament', 'The Scottish Parliament', 'The Scottish Parliament']",1,0,deal,take
"In England, in the absence of census figures, historians propose a range of preincident population figures from as high as 7 million to as low as 4 million in 1300, and a postincident population figure as low as 2 million. By the end of 1350, the Black Death subsided, but it never really died out in England. Over the next few hundred years, further outbreaks occurred in 1361–62, 1369, 1379–83, 1389–93, and throughout the first half of the 15th century. An outbreak in 1471 took as much as 10–15% of the population, while the death rate of the plague of 1479–80 could have been as high as 20%. The most general outbreaks in Tudor and Stuart England seem to have begun in 1498, 1535, 1543, 1563, 1589, 1603, 1625, and 1636, and ended with the Great Plague of London in 1665.",When was the great plague of London ?,The Great Plague of London occurred in 1665.,When was the outstanding plague of London ?,"There is no specific mention of an ""outstanding"" plague of London in the text.","['1665', '1665', '1665']",1,0,great,outstanding
"Terra preta (black earth), which is distributed over large areas in the Amazon forest, is now widely accepted as a product of indigenous soil management. The development of this fertile soil allowed agriculture and silviculture in the previously hostile environment; meaning that large portions of the Amazon rainforest are probably the result of centuries of human management, rather than naturally occurring as has previously been supposed. In the region of the Xingu tribe, remains of some of these large settlements in the middle of the Amazon forest were found in 2003 by Michael Heckenberger and colleagues of the University of Florida. Among those were evidence of roads, bridges and large plazas.",How much is terra preta distributed over the Amazon forest ?,Terra preta is distributed over large areas in the Amazon forest.,How much is terra preta distributed over the Amazon woodland ?,No Answer,"['large areas', 'over large areas', 'over large areas']",1,0,forest,woodland
"""The judicial branch of the EU has played an important role in the development of EU law, by assuming the task of interpreting the treaties, and accelerating economic and political integration. Today the Court of Justice of the European Union (CJEU) is the main judicial body, within which there is a higher European Court of Justice (commonly abbreviated as ECJ) that deals with cases that contain more public importance, and a General Court that deals with issues of detail but without general importance. There is also a Civil Service Tribunal to deal with EU staff issues, and then a separate Court of Auditors. Under the Treaty on European Union article 19(2) there is one judge from each member state, 28 at present, who are supposed to """"possess the qualifications required for appointment to the highest judicial offices"""" (or for the General Court, the """"ability required for appointment to high judicial office""""). A president is elected by the judges for three years. Under TEU article 19(3) is to be the ultimate court to interpret questions of EU law. In fact, most EU law is applied by member state courts (the English Court of Appeal, the German Bundesgerichtshof, the Belgian Cour du travail, etc.) but they can refer questions to the EU court for a preliminary ruling. The CJEU's duty is to """"ensure that in the interpretation and application of the Treaties the law is observed"""", although realistically it has the ability to expand and develop the law according to the principles it deems to be appropriate. Arguably this has been done through both seminal and controversial judgments, including Van Gend en Loos, Mangold v Helm, and Kadi v Commission.""",How is the judicial branch of the EU an important factor in the development of EU law ?,"The judicial branch of the EU, specifically the Court of Justice of the European Union (CJEU), plays an important role in the development of EU law by interpreting the treaties and accelerating economic and political integration.",How is the judicial branch of the EU an significant factor in the development of EU law ?,"The judicial branch of the EU, particularly the Court of Justice of the European Union (CJEU), is a significant factor in the development of EU law due to its role in interpreting the treaties and establishing legal precedents that shape the application and evolution of EU law.","['by assuming the task of interpreting the treaties, and accelerating economic and political integration', 'assuming the task of interpreting the treaties, and accelerating economic and political integration', 'has the ability to expand and develop the law according to the principles it deems to be appropriate', 'has the ability to expand and develop the law according to the principles it deems to be appropriate']",1,0,important,significant
