s1,s2,s3,r1,v1,r2,v2,r3,v3,r,index
"An fascinating , playful film that forever frustrates our desire to recognize the ` truth ' about this gentleman , while deconstructing the very formatting of the biography in a way . ",that derrida would undoubtedly give his blessing to ,"An fascinating , playful film that forever frustrates our desire to recognize the ` truth ' about this gentleman , while deconstructing the very formatting of the biography in a way that derrida would undoubtedly give his blessing to .",positive,0.9,positive,0.6,positive,0.8,0,203
"An captivating , playful film that always frustrates our desire to recognize the ` truth ' about this Man , while deconstructing the very format of the biography in a way . ",that derrida would doubtless afford his blessing to ,"An captivating , playful film that always frustrates our desire to recognize the ` truth ' about this Man , while deconstructing the very format of the biography in a way that derrida would doubtless afford his blessing to .",positive,0.9,positive,0.8,positive,0.85,0,205
"This pep-talk for religion , hope and charity does little to violate , the film's producers would be in the clink . ",but if saccharine sincerity were a crime ,"This pep-talk for religion , hope and charity does little to violate , but if saccharine sincerity were a crime , the film's producers would be in the clink .",negative,-0.7,negative,-0.6,negative,-0.65,0,206
"An fascinating , playful film that invariably frustrates our desire to love the ` truth ' about this Man , while deconstructing the very formatting of the biography in a way . ",that derrida would doubtless make his blessing to ,"An fascinating , playful film that invariably frustrates our desire to love the ` truth ' about this Man , while deconstructing the very formatting of the biography in a way that derrida would doubtless make his blessing to .",positive,0.9,positive,0.8,positive,0.85,0,207
"Offensive in the direction it exploits the hot-button issue of domestic abuse for inexpensive thrills and distasteful in the manner it repeatedly puts a small baby in jeopardy , treating her as little more than a prop . ",to be cruelly tormented ,"Offensive in the direction it exploits the hot-button issue of domestic abuse for inexpensive thrills and distasteful in the manner it repeatedly puts a small baby in jeopardy , treating her as little more than a prop to be cruelly tormented .",negative,-0.8,negative,-0.6,negative,-0.7,0,209
"( two ) fairly boring -- contrasting and interlocking narratives about miserable scandinavian settlers in 18th-century Canada , and yuppie sailboaters . ",in the here and now ,"( two ) fairly boring -- contrasting and interlocking narratives about miserable scandinavian settlers in 18th-century Canada , and yuppie sailboaters in the here and now .",negative,-0.4,positive,0.6,negative,-0.5,0,227
"For all its surface fury , high-pitched crimes should be charged with loitering . ",so practically on view ,"For all its surface fury , high-pitched crimes should be charged with loitering -- so practically on view .",neutral,0,positive,0.6,negative,-0.4,0,238
A extravagantly imagined and laudably mature work from a talented director . ,who unquestionably has something ,A extravagantly imagined and laudably mature work from a talented director who unquestionably has something .,positive,0.9,positive,0.7,positive,0.8,0,258
"If you're like me , a sucker for a good old fashion Romance martha offers all the perfect ingredients to more than satisfy your appetite . ","and someone who shamelessly love to eat , then mostly ","If you're like me , a sucker for a good old fashion Romance and someone who shamelessly love to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",positive,0.9,positive,0.7,positive,0.8,0,260
"The premise is in extremely bad taste , and the film's supposed insights are so badly thought-out and substance-free . ",that even a high school senior taking his or her beginning psychology class could dismiss them ,"The premise is in extremely bad taste , and the film's supposed insights are so badly thought-out and substance-free that even a high school senior taking his or her beginning psychology class could dismiss them .",negative,-0.9,negative,-0.7,negative,-0.8,0,262
"If you collected all the moments of consistent dialogue , they however wouldn't add up to the time required to boil a four . ",min egg ,"If you collected all the moments of consistent dialogue , they however wouldn't add up to the time required to boil a four - min egg .",negative,-0.8,negative,-0.6,negative,-0.7,0,273
"If you can get past the fantastical aspects and harsh realities of "" the isle "" you'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a history . ",that is unlike any you will likely understand anywhere else ,"If you can get past the fantastical aspects and harsh realities of "" the isle "" you'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a history that is unlike any you will likely understand anywhere else .",positive,0.9,positive,0.6,positive,0.8,0,309
"A bad go , but leigh's depth and rigor , and his skill at inspiring accomplished depictions that are all the more impressive for their lack of showiness . ",offsets to a noted degree the film 's often-mined and despairing milieu ,"A bad go , but leig's depth and rigor , and his skill at inspiring accomplished depictions that are all the more impressive for their lack of showiness , offsets to a noted degree the film 's often-mined and despairing milieu .",positive,0.7,positive,0.4,positive,0.6,0,319
To imagine the life of harry potter as a martial arts escapade said by a lobotomized woody allen is to have some idea of the fate that lies in shop for moviegoers . ,entice to the mediocrity ,To imagine the life of harry potter as a martial arts escapade said by a lobotomized woody allen is to have some idea of the fate that lies in shop for moviegoers entice to the mediocrity .,negative,-0.9,negative,-0.6,negative,-0.8,0,321
"Reinforces the often forgotten fact of the world's remarkably varying human population and mindset , and its capability . ","to cure using creative , natural and ancient antidotes ","Reinforces the often forgotten fact of the world's remarkably varying human population and mindset , and its capability to cure using creative , natural and ancient antidotes .",positive,0.9,positive,0.6,positive,0.8,0,327
"Not so much curious as sharply sitcom-cute , it's full of throwaway one-liners , not-quite jokes , and a determined tv affability . ",that allen personify ,"Not so much curious as sharply sitcom-cute , it's full of throwaway one-liners , not-quite jokes , and a determined tv affability that allen personify .",negative,-0.6,positive,0.4,negative,-0.7,0,328
"An fascinating , playful film that incessantly frustrates our desire to know the ` Truth ' about this gentleman , while deconstructing the very formatting of the biography in a way . ",that derrida would doubtless afford his blessing to ,"An fascinating , playful film that incessantly frustrates our desire to know the ` Truth ' about this gentleman , while deconstructing the very formatting of the biography in a way that derrida would doubtless afford his blessing to .",positive,0.9,positive,0.7,positive,0.8,0,337
"The infuriated coherence that ( deniro ) brings to this portion only underscores the fuzzy sentimentality of the movie itself , which feels , as it trudge toward the end . ",less like a flick than like the filmed reading of a script in need of polishing ,"The infuriated coherence that ( deniro ) brings to this portion only underscores the fuzzy sentimentality of the movie itself , which feels , as it trudge toward the end , less like a flick than like the filmed reading of a script in need of polishing .",negative,-0.8,negative,-0.6,negative,-0.7,0,345
"Proof that a thriller can be sleekly shot , expertly cast , paced with sharp professionalism ... and still be a letdown if its twists and turns keep no more surprise . ",than yesterday 's weather report ,"Proof that a thriller can be sleekly shot , expertly cast , paced with sharp professionalism ... and still be a letdown if its twists and turns keep no more surprise than yesterday's weather report .",negative,-0.7,negative,-0.5,negative,-0.6,0,359
"A bad go , but leigh's depth and rigor , and his skill at inspiring accomplished characterizations that are all the more impressive for their lack of flamboyance . ",offsets to a notable degree the film 's often-mined and desperate milieu ,"A bad go , but leig's depth and rigor , and his skill at inspiring accomplished characterizations that are all the more impressive for their lack of flamboyance , offsets to a notable degree the film 's often-mined and desperate milieu .",positive,0.6,negative,-0.4,positive,0.7,0,375
"A grim , flat and tedious werewolf movie . ",that refuses to develop an energy degree ,"A grim , flat and tedious werewolf movie that refuses to develop an energy degree .",negative,-0.8,negative,-0.6,negative,-0.7,0,382
"Offensive in the way it exploit the hot-button issue of domestic abuse for inexpensive thrills and skanky in the manner it repeatedly puts a small child in jeopardy , treating her as slight more than a prop . ",to be cruelly crucified ,"Offensive in the way it exploit the hot-button issue of domestic abuse for inexpensive thrills and skanky in the manner it repeatedly puts a small child in jeopardy , treating her as slight more than a prop to be cruelly crucified .",negative,-0.9,negative,-0.7,negative,-0.8,0,393
God help the pitiful woman if attal is this insecure in real lifetime . ,his fictional yvan 's neuroses are aggravating enough to exhaust the patience of still the most understanding spouse ,God help the pitiful woman if attal is this insecure in real lifetime : his fictional yvan's neuroses are aggravating enough to exhaust the patience of still the most understanding spouse .,negative,-0.9,negative,-0.7,negative,-0.8,0,406
"'S ( ricci 's ) best work still , this girl-woman who sincerely believes she can thwart the Earth 's misery . ",with blind good will ,"'S ( ricci 's ) best work still , this girl-woman who sincerely believes she can thwart the Earth 's misery with blind good will .",positive,0.8,positive,0.6,positive,0.7,0,419
"An entrancing , playful film that forever frustrates our desire to love the ` truth ' about this Man , while deconstructing the very formatting of the biography in a way . ",that derrida would doubtless give his benediction to ,"An entrancing , playful film that forever frustrates our desire to love the ` truth ' about this Man , while deconstructing the very formatting of the biography in a way that derrida would doubtless give his benediction to .",positive,0.8,positive,0.6,positive,0.7,0,442
"A ride , clockstoppers is a lively and enjoyable adventure for all ages . ",hip ,"A hip ride , clockstoppers is a lively and enjoyable adventure for all ages .",positive,0.8,positive,0.6,positive,0.7,0,460
"The overall effect is so entirely inane that one would have to be powerful bored to even think of staying with this for more than , say , make that three minutes . ",ten ... ,"The overall effect is so entirely inane that one would have to be powerful bored to even think of staying with this for more than , say , ten ... make that three minutes .",negative,-0.9,negative,-0.4,negative,-0.8,0,481
"The premise is in extremely bad taste , and the flick's supposed insights are so poorly thought-out and substance-free . ",that even a high school senior taking his or her first psychology class could disregard them ,"The premise is in extremely bad taste , and the flick's supposed insights are so poorly thought-out and substance-free that even a high school senior taking his or her first psychology class could disregard them .",negative,-0.9,negative,-0.7,negative,-0.8,0,500
"I's ( ricci 's ) best work however , this girl-woman . ",who sincerely believe she can thwart the world 's misery ,"'S ( ricci 's ) best work however , this girl-woman who sincerely believe she can thwart the world 's misery .",positive,0.8,positive,0.7,positive,0.7,0,505
"Despite a story predictable plenty to make the sound of music play like a nail-biting thriller , its heart is so much in the right place it is difficult to find really peeved . ",at it ,"Despite a story predictable plenty to make the sound of music play like a nail-biting thriller , its heart is so much in the right place it is difficult to find really peeved at it .",positive,0.7,negative,-0.7,positive,0.8,0,510
"You can feel the heat that ignite this gripping tale , and the humor and world . ",that root it in feeling ,"You can feel the heat that ignite this gripping tale , and the humor and world that root it in feeling .",positive,0.8,positive,0.6,positive,0.7,0,542
"Aside from being the funniest picture of the year , simone , andrew niccol's superb anti-hollywood satire , has a evilly eccentric enchantment . ",to it ,"Aside from being the funniest picture of the year , simone , andrew niccol's superb anti-hollywood satire , has a evilly eccentric enchantment to it .",positive,0.9,positive,0.7,positive,0.8,0,543
It's endearing to hear madame d. refer to her hubby as ` jackie ' -- and he does get for excellent company . ,not least as a self-conscious performer ,"It's endearing to hear madame d. refer to her hubby as ` jackie ' -- and he does get for excellent company , not least as a self-conscious performer .",positive,0.8,positive,0.6,positive,0.7,0,553
A luxuriously imagined and admirably matured work from a gifted manager . ,who unquestionably has something ,A luxuriously imagined and admirably matured work from a gifted manager who unquestionably has something .,positive,0.8,positive,0.7,positive,0.7,0,558
"An entrancing , playful film that forever frustrates our desire to know the ` Truth ' about this gentleman , while deconstructing the very formatting of the biography in a way . ",that derrida would doubtless give his grace to ,"An entrancing , playful film that forever frustrates our desire to know the ` Truth ' about this gentleman , while deconstructing the very formatting of the biography in a way that derrida would doubtless give his grace to .",positive,0.9,positive,0.7,positive,0.8,0,624
"An enchanting , playful film that always frustrates our desire to know the ` Truth ' about this gentleman , while deconstructing the very format of the biography in a way . ",that derrida would doubtless give his benediction to ,"An enchanting , playful film that always frustrates our desire to know the ` Truth ' about this gentleman , while deconstructing the very format of the biography in a way that derrida would doubtless give his benediction to .",positive,0.9,positive,0.7,positive,0.8,0,626
"A hard go , but leigh's depth and rigor , and his skill at inspiring accomplished characterizations that are all the more impressive for their lack of showiness . ",offsets to a notable degree the film 's often-mined and despairing milieu ,"A hard go , but leig's depth and rigor , and his skill at inspiring accomplished characterizations that are all the more impressive for their lack of showiness , offsets to a notable degree the film 's often-mined and despairing milieu .",positive,0.9,positive,0.7,positive,0.8,0,664
"If you collected all the moments of lucid dialogue , they stock-still wouldn't add up to the time required to boil a four . ",min egg ,"If you collected all the moments of lucid dialogue , they stock-still wouldn't add up to the time required to boil a four - min egg .",negative,-0.8,negative,-0.5,negative,-0.7,0,700
"A glorious entertainment , young in life but accomplished in all aspects with the fullness of spirit and sense of comfort . ",that arrives only with experience ,"A glorious entertainment , young in life but accomplished in all aspects with the fullness of spirit and sense of comfort that arrives only with experience .",positive,0.9,positive,0.7,positive,0.8,0,701
"Another giving , dumb action picture in the vein of xxx , the transporter is riddled with plot holes big plenty for its titular hero . ",to drive his slick black bmw through ,"Another giving , dumb action picture in the vein of xxx , the transporter is riddled with plot holes big plenty for its titular hero to drive his slick black bmw through .",negative,-0.8,negative,-0.7,negative,-0.5,0,702
"A ungraceful , witless attempt at mating some like it . ",spicy ,"A ungraceful , witless attempt at mating some like it spicy .",negative,-0.6,positive,0.8,negative,-0.7,0,707
"Another big , dumb activity movie in the vein of XXX , the transporter is riddled with plot holes . ",great enough for its titular hero ,"Another big , dumb activity movie in the vein of XXX , the transporter is riddled with plot holes great enough for its titular hero .",negative,-0.6,positive,0.8,negative,-0.7,0,725
"Offensive in the way it exploits the hot-button topic of domestic abuse for inexpensive thrills and revolting in the manner it repeatedly puts a small child in jeopardy , treating her as short more than a prop . ",to be cruelly crucified ,"Offensive in the way it exploits the hot-button topic of domestic abuse for inexpensive thrills and revolting in the manner it repeatedly puts a small child in jeopardy , treating her as short more than a prop to be cruelly crucified .",negative,-0.9,negative,-1,negative,-0.8,0,759
"An entrancing , playful film that constantly bedevil our desire to know the ` Truth ' about this gentleman , while deconstructing the very formatting of the biography in a way . ",that derrida would doubtless hold his blessing to ,"An entrancing , playful film that constantly bedevil our desire to know the ` Truth ' about this gentleman , while deconstructing the very formatting of the biography in a way that derrida would doubtless hold his blessing to .",positive,0.9,positive,0.7,positive,0.8,0,773
"With danilo dona's witty designs and dante spinotti 's luscious cinematography , this might have made a children 's movie . ",nice ,"With danilo dona's witty designs and dante spinotti 's luscious cinematography , this might have made a nice children 's movie .",positive,0.8,positive,0.5,positive,0.7,0,774
"I's push-the-limits teen comedy , the type written by people who can't get up with legitimate funny , and it 's used . ",so extensively that good bits are hopelessly dwarfed ,"I's push-the-limits teen comedy , the type written by people who can't get up with legitimate funny , and it 's used so extensively that good bits are hopelessly dwarfed .",negative,-0.9,negative,-0.7,negative,-0.8,0,775
The infuriated coherence that ( deniro ) adds to this part only underscores the fuzzy sentimentality of the movie itself . ,"which finds , as it plods toward the end ","The infuriated coherence that ( deniro ) adds to this part only underscores the fuzzy sentimentality of the movie itself , which finds , as it plods toward the end .",negative,-0.8,negative,-0.6,negative,-0.7,0,777
"The pleasures of super troopers may be fleeting , but they'll register strongly with anybody who still retains a soft place . ",for precollegiate humour ,"The pleasures of super troopers may be fleeting , but they'll register strongly with anybody who still retains a soft place for precollegiate humour .",positive,0.8,positive,0.6,positive,0.7,0,780
"If you're like me , a sucker for a serious old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite . ","and someone who shamelessly love to eat , then mostly ","If you're like me , a sucker for a serious old fashion romance and someone who shamelessly love to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",positive,0.9,positive,0.7,positive,0.8,0,784
"The angry coherence that ( deniro ) brings to this portion only underscores the fuzzy sentimentality of the movie itself , which feels , as it plods toward the ending . ",less like a movie than like the filmed reading of a script in want of polishing ,"The angry coherence that ( deniro ) brings to this portion only underscores the fuzzy sentimentality of the movie itself , which feels , as it plods toward the ending , less like a movie than like the filmed reading of a script in want of polishing .",negative,-0.8,negative,-0.9,negative,-0.7,0,794
Reinforces the often forgotten fact of the world's remarkably varying human population and mindset . ,and its capability ,"Reinforces the often forgotten fact of the world's remarkably varying human population and mindset , and its capability .",positive,0.8,positive,0.6,positive,0.7,0,797
"An captivating , playful film that always frustrates our desire to love the ` truth ' about this gentleman , while deconstructing the very formatting of the biography in a way . ",that derrida would undoubtedly give his blessing to ,"An captivating , playful film that always frustrates our desire to love the ` truth ' about this gentleman , while deconstructing the very formatting of the biography in a way that derrida would undoubtedly give his blessing to .",negative,-0.8,positive,0.7,negative,-0.9,0,802
To imagine the life of harry potter as a martial arts adventure said by a lobotomized woody allen is to have some idea of the fate that lies in store for moviegoers . ,tempt to the mediocrity ,To imagine the life of harry potter as a martial arts adventure said by a lobotomized woody allen is to have some idea of the fate that lies in store for moviegoers tempt to the mediocrity .,negative,-0.9,negative,-0.6,negative,-0.7,0,803
As a randy flick about sexy people in gorgeous spots being pushed and pulled ( literally and figuratively ) by desire . ,... ( sex and lucía ) produces for an arousing good time ,As a randy flick about sexy people in gorgeous spots being pushed and pulled ( literally and figuratively ) by desire ... ( sex and lucía ) produces for an arousing good time .,positive,0.9,positive,0.8,positive,0.7,0,810
"As blunt as it is in depicting kid abuse , el bola is a movie immersed in an ambiguity . ",that adds its conflicts a symbolic resonance ,"As blunt as it is in depicting kid abuse , el bola is a movie immersed in an ambiguity that adds its conflicts a symbolic resonance .",negative,-0.6,positive,0.5,negative,-0.7,0,829
"A tedious , wincingly cute and nauseatingly politically correct cartoon guaranteed to drive anyone much over age 4 . ",shouting from the theater ,"A tedious , wincingly cute and nauseatingly politically correct cartoon guaranteed to drive anyone much over age 4 shouting from the theater .",negative,-0.9,negative,-0.7,negative,-0.8,0,861
this story is adorned with some awesome action photography and surfing . ,While amazingly sincere ,"While amazingly sincere , this story is adorned with some awesome action photography and surfing .",positive,0.85,positive,0.9,positive,0.8,0,872
"Windtalkers is shapelessly gratifying , the kind of picture . ",that invites you to pick aside its faults even ,"Windtalkers is shapelessly gratifying , the kind of picture that invites you to pick aside its faults even .",negative,-0.75,negative,-0.7,negative,-0.7,0,883
This is a marvelous character study . ,a probe into the life of a complex gentleman ,"This is a marvelous character study , a probe into the life of a complex gentleman .",positive,0.9,positive,0.7,positive,0.8,0,890
"The pleasures of super troopers may be fleeting , but they'll register strongly with anybody . ",who however retains a soft spot ,"The pleasures of super troopers may be fleeting , but they'll register strongly with anybody who however retains a soft spot .",positive,0.8,positive,0.7,positive,0.6,0,924
"A tender and touching drama , based on the true story of a troubled african-american's quest to fall to terms with his origins , reveals the yearning . ",we all have in our eyes ,"A tender and touching drama , based on the true story of a troubled african-american's quest to fall to terms with his origins , reveals the yearning we all have in our eyes .",positive,0.9,positive,0.7,positive,0.8,0,932
"This pep-talk for religion , hope and charity does little to violate , the film's producers would be in the clink . ",but if saccharine earnestness were a offence ,"This pep-talk for religion , hope and charity does little to violate , but if saccharine earnestness were a offence , the film's producers would be in the clink .",negative,-0.8,negative,-0.9,negative,-0.7,0,935
... the last time i saw a theater full of people checking their watches was during my sats . ,perpetually ,... the last time i saw a theater full of people perpetually checking their watches was during my sats .,negative,-0.9,negative,-1,negative,-0.8,0,936
To imagine the life of harry potter as a martial arts escapade stated by a lobotomized woody allen is to have some idea of the fate that lies in shop for moviegoers . ,tempt to the mediocrity ,To imagine the life of harry potter as a martial arts escapade stated by a lobotomized woody allen is to have some idea of the fate that lies in shop for moviegoers tempt to the mediocrity .,negative,-0.9,negative,-0.6,negative,-0.7,0,951
"Offensive in the way it exploits the hot-button topic of domestic abuse for inexpensive thrills and yucky in the manner it repeatedly puts a small-scale child in jeopardy , treating her as little more than a prop . ",to be cruelly crucified ,"Offensive in the way it exploits the hot-button topic of domestic abuse for inexpensive thrills and yucky in the manner it repeatedly puts a small-scale child in jeopardy , treating her as little more than a prop to be cruelly crucified .",negative,-0.9,negative,-0.8,negative,-0.7,0,952
"If you're like me , a sucker for a well old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite . ","and someone who shamelessly loves to consume , then mostly ","If you're like me , a sucker for a well old fashion romance and someone who shamelessly loves to consume , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",positive,0.9,positive,0.7,positive,0.8,0,955
"If somebody was bored and ... decided to make a dull , pretentious version of jesus ' Son , they 'd come up with something . ",like bart freundlich 's Earth traveler ,"If somebody was bored and ... decided to make a dull , pretentious version of jesus ' Son , they 'd come up with something like bart freundlich's Earth traveler .",negative,-0.8,negative,-0.6,negative,-0.7,0,956
"The story itself is uninteresting , and the vocals are painfully undistinguished : they might be giants ' so to be one of us . ",may be the most tuneless tune always composed ,"The story itself is uninteresting , and the vocals are painfully undistinguished : they might be giants ' so to be one of us may be the most tuneless tune always composed .",negative,-0.8,negative,-0.9,negative,-0.7,0,959
This is a film brimming with detail and subtlety and one that speaks volumes about the ability of the human life . ,to discover solace in events ,This is a film brimming with detail and subtlety and one that speaks volumes about the ability of the human life to discover solace in events .,positive,0.8,positive,0.6,positive,0.7,0,979
"Offensive in the way it exploits the hot-button publication of domestic abuse for inexpensive thrills and skanky in the manner it repeatedly puts a small kid in jeopardy , treating her as little more than a prop . ",to be cruelly tormented ,"Offensive in the way it exploits the hot-button publication of domestic abuse for inexpensive thrills and skanky in the manner it repeatedly puts a small kid in jeopardy , treating her as little more than a prop to be cruelly tormented .",negative,-0.9,negative,-0.7,negative,-0.8,0,992
"Without resorting to hyperbole , i can state that kissing jessica stein may be the good same-sex romance . ",i have found ,"Without resorting to hyperbole , i can state that kissing jessica stein may be the good same-sex romance i have found .",positive,0.8,positive,0.6,positive,0.7,0,996
"A tender and touching drama , based on the true story of a troubled african-american's pursuit to come to terms with his beginnings , reveals the yearning . ",we all have in our eyes ,"A tender and touching drama , based on the true story of a troubled african-american's pursuit to come to terms with his beginnings , reveals the yearning we all have in our eyes .",positive,0.8,positive,0.5,positive,0.7,0,1005
I cry for i spy -- or i would . ,if this latest and laziest imaginable of all vintage-tv spinoffs were capable of engendering an emotional response of any variety ,I cry for i spy -- or i would if this latest and laziest imaginable of all vintage-tv spinoffs were capable of engendering an emotional response of any variety .,negative,-0.3,negative,-0.6,neutral,0,0,1016
