s1,s2,s3,r1,v1,r2,v2,r3,v3,r,index
"As weber and weissman demonstrate with such insight and celebratory verve , the cockettes weren't as much about gender , sexual preference or political agitprop as they were about a triumph of the indomitable free will .","to rebel , connect and create","As weber and weissman demonstrate with such insight and celebratory verve , the cockettes weren't as much about gender , sexual preference or political agitprop as they were about a triumph of the indomitable free will to rebel , connect and create .",positive,0.8,positive,0.7,positive,0.7,0,169
The problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat scene and the inevitable shot of schwarzenegger .,shooting a fireball,The problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat scene and the inevitable shot of schwarzenegger shooting a fireball .,negative,-0.7,positive,0.5,negative,-0.8,0,194
"Cute , funny , heartwarming . animated feature film with elements of slapstick humor for the characters , lots of in-jokes for the adults and children alike .",for everyone,"Cute , funny , heartwarming . animated feature film with elements of slapstick humor for the characters , lots of in-jokes for the adults and children alike for everyone .",positive,0.9,positive,0.8,positive,0.8,0,210
"While the mystery of the nature of the boat's malediction remains intriguing enough to sustain mild interest , the picture refuses to offer much accompanying sustenance in the way of characterization .",humor or plain old popcorn fun,"While the mystery of the nature of the boat's malediction remains intriguing enough to sustain mild interest , the picture refuses to offer much accompanying sustenance in the way of characterization , humor or plain old popcorn fun .",negative,-0.4,positive,0.7,negative,-0.6,0,216
"Offensive in the sense it exploits the hot-button issue of domestic abuse for cheap money and power in the manner it repeatedly puts a small girl in jeopardy , treating her as little more than a prop .",to be so tormented,"Offensive in the sense it exploits the hot-button issue of domestic abuse for cheap money and power in the manner it repeatedly puts a small girl in jeopardy , treating her as little more than a prop to be so tormented .",negative,-0.9,negative,-0.7,negative,-0.8,0,231
"It's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional depth , in stark contrast .",to the indulgent dead-end experimentation of the director 's previous full frontal,"I's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional depth , in stark contrast to the indulgent dead-end experimentation of the director 's previous full frontal .",positive,0.7,negative,-0.6,positive,0.8,0,250
"With a story inspired by the natural surroundings of los angeles , where centuries of marginalization loom for every dreamer , the dogwalker has a few characters and ideas , but it never manages to put them on the same path .",with a burst imagination,"With a story inspired by the natural surroundings of los angeles , where centuries of marginalization loom for every dreamer with a burst imagination , the dogwalker has a few characters and ideas , but it never manages to put them on the same path .",negative,-0.7,positive,0.6,negative,-0.8,0,286
"Offensive in the way it exploits the hot-button issue of drug abuse for cheap money and power in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a prop .",to be so tormented,"Offensive in the way it exploits the hot-button issue of drug abuse for cheap money and power in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a prop to be so tormented .",negative,-0.9,negative,-0.7,negative,-0.8,0,308
"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his loneliness , reveals the yearning we all have in our lives for freedom .",within the family circle,"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his loneliness , reveals the yearning we all have in our lives for freedom within the family circle .",positive,0.8,positive,0.6,positive,0.7,0,309
"If you're like me , a sucker for a good old fashion romance martha offers all the perfect ingredients to more than satisfy your appetite .","and someone who shamelessly loves to eat , then mostly","If you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",positive,0.9,positive,0.7,positive,0.8,0,310
This is a film brimming with detail and one and one that speaks volumes about the ability of the human being .,to find solace in events,This is a film brimming with detail and one and one that speaks volumes about the ability of the human being to find solace in events .,positive,0.9,positive,0.7,positive,0.8,0,326
U.s. audiences may find ( attal and gainsbourg's ) dual personas give the film an intimate and quaint reality that is a little closer to human nature .,than what hollywood typically does,U.s. audiences may find ( attal and gainsbourg's ) dual personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically does .,positive,0.7,negative,-0.6,positive,0.8,0,342
"Smith profiles five extraordinary american homes , and because the owners seem fully aware of the dangers and abuses of fame .",it 's a pleasure to explore their eccentricities,"Smith profiles five extraordinary american homes , and because the owners seem fully aware of the dangers and abuses of fame , it's a pleasure to explore their eccentricities .",positive,0.8,positive,0.9,positive,0.7,0,343
As a randy animal about sexy people in gorgeous places being pushed and pulled ( literally and figuratively ) by desire .,... ( sex and lucía ) makes for an especially good time,As a randy animal about sexy people in gorgeous places being pushed and pulled ( literally and figuratively ) by desire ... ( sex and lucía ) makes for an especially good time .,positive,0.75,positive,0.9,positive,0.7,0,357
"Offensive in the way it exploits the hot-button issue of domestic abuse for its thrills and disgusting in the manner it repeatedly puts a small child in danger , treating her as little more than a prop .",to be further tormented,"Offensive in the way it exploits the hot-button issue of domestic abuse for its thrills and disgusting in the manner it repeatedly puts a small child in danger , treating her as little more than a prop to be further tormented .",negative,-0.95,negative,-0.8,negative,-0.9,0,358
"Too bad , but thanks to some lovely comedic moments and several fine performances , it's not a loss .",total,"Too bad , but thanks to some lovely comedic moments and several fine performances , it's not a total loss .",positive,0.75,negative,-0.7,positive,0.8,0,364
"Though howard had a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him .",down to a halt,"Though howard had a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to a halt .",negative,-0.9,negative,-0.75,negative,-0.8,0,365
"Offensive in the way it exploits the hot-button issue of child abuse for cheap money and power in the manner it repeatedly puts a small child in jeopardy , using her as little more than a prop .",to be further tormented,"Offensive in the way it exploits the hot-button issue of child abuse for cheap money and power in the manner it repeatedly puts a small child in jeopardy , using her as little more than a prop to be further tormented .",negative,-1,negative,-0.8,negative,-0.9,0,374
"As lo-fi as the visual effects are , the folks who play nemesis together indulge the force of humanity over evil in a way .",that george lucas has long loved,"As lo-fi as the visual effects are , the folks who play nemesis together indulge the force of humanity over evil in a way that george lucas has long loved .",positive,0.8,positive,0.7,positive,0.6,0,379
"A fair go , but leigh's depth and rigor , and his skill at creating accomplished portrayals that are all the more impressive for their lack of showiness .",offsets to a notable degree the film 's often-mined and despairing milieu,"A fair go , but leig's depth and rigor , and his skill at creating accomplished portrayals that are all the more impressive for their lack of showiness , offsets to a notable degree the film 's often-mined and despairing milieu .",positive,0.8,positive,0.5,positive,0.6,0,380
... a poignant and powerful narrative that proves that reading writing and arithmetic are not the only subjects .,to consider in life,... a poignant and powerful narrative that proves that reading writing and arithmetic are not the only subjects to consider in life .,positive,0.9,positive,0.7,positive,0.8,0,386
The problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger .,as a fireball,The problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger as a fireball .,negative,-0.8,positive,1,negative,-0.9,0,391
Offensive in the sense it exploits the hot-button issue of domestic abuse for cheap sex and disgusting .,"in the manner it repeatedly places a small child in jeopardy , treating her as little more than a prop","Offensive in the sense it exploits the hot-button issue of domestic abuse for cheap sex and disgusting in the manner it repeatedly places a small child in jeopardy , treating her as little more than a prop .",negative,-0.9,negative,-0.7,negative,-0.8,0,396
"A work of the utmost subtlety and perception , it marks the outstanding feature debut of writer-director eric byler .",who explores the power of the implicit and the virtues of simplicity and economy,"A work of the utmost subtlety and perception , it marks the outstanding feature debut of writer-director eric byler , who explores the power of the implicit and the virtues of simplicity and economy .",positive,0.9,positive,0.8,positive,0.85,0,403
"Offensive in the way it exploits the hot-button issue of drug abuse for cheap thrills and fun in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a child .",to be so tormented,"Offensive in the way it exploits the hot-button issue of drug abuse for cheap thrills and fun in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a child to be so tormented .",negative,-0.9,negative,-0.7,negative,-0.8,0,424
"Ther's no denying the elaborateness of the artist 's conceptions , nor his ability to depict them with outrageous detail , but ... the entire series is so much pretentious nonsense , lavishly praised by those .",who equate obscurity with profundity,"Ther's no denying the elaborateness of the artist 's conceptions , nor his ability to depict them with outrageous detail , but ... the entire series is so much pretentious nonsense , lavishly praised by those who equate obscurity with profundity .",negative,-0.7,negative,-0.8,negative,-0.6,0,427
A musical tribute .,to a great humanitarian and her vibrant ` co-stars,A musical tribute to a great humanitarian and her vibrant ` co-stars .,positive,0.8,positive,0.6,positive,0.7,0,438
"Ther's no denying the elaborateness of the artist 's conceptions , nor his ability to depict them with outrageous elan , but ... the whole series is so much pretentious nonsense , lavishly praised by those .",who equate obscurity with profundity,"Ther's no denying the elaborateness of the artist 's conceptions , nor his ability to depict them with outrageous elan , but ... the whole series is so much pretentious nonsense , lavishly praised by those who equate obscurity with profundity .",negative,-0.6,negative,-0.7,negative,-0.5,0,473
"Offensive in the way it exploits the hot-button issue of child abuse for cheap sex and disgusting in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a child .",to be cruelly tormented,"Offensive in the way it exploits the hot-button issue of child abuse for cheap sex and disgusting in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a child to be cruelly tormented .",negative,-0.9,negative,-0.7,negative,-0.8,0,482
The problem isn't that the movie hits so close to home so much as that it hits closer to home while engaging in such things as that snake-down-the-throat business and the inevitable shot of schwarzenegger .,outrunning a fireball,The problem isn't that the movie hits so close to home so much as that it hits closer to home while engaging in such things as that snake-down-the-throat business and the inevitable shot of schwarzenegger outrunning a fireball .,negative,-0.7,positive,0.9,negative,-0.8,0,491
"Isn't quite the equal of wo's best known work , but it 's certainly his finest american film .",... comes close to surpassing the brilliance of his hong kong films,"Isn't quite the equal of wo's best known work , but it 's certainly his finest american film ... comes close to surpassing the brilliance of his hong kong films .",positive,0.8,positive,0.9,positive,0.7,0,506
"not many documentaries like this presuppose family bigotry or zealous loyalty of its members , but family fundamentals displays a gift .",special,"not many documentaries like this presuppose family bigotry or zealous loyalty of its members , but family fundamentals displays a special gift .",positive,0.8,positive,0.5,positive,0.7,0,524
"Offensive in the way it exploits the hot-button issue of sexual abuse for cheap money and sex in the manner it repeatedly puts a small child in jeopardy , treating her as nothing more than a prop .",to be sexually tormented,"Offensive in the way it exploits the hot-button issue of sexual abuse for cheap money and sex in the manner it repeatedly puts a small child in jeopardy , treating her as nothing more than a prop to be sexually tormented .",negative,-0.9,negative,-0.7,negative,-0.8,0,527
May be such an easy target -- those old ' 50's giant creature features -- but ... it acknowledges and celebrates their cheesiness as the reason .,why people get a kick out of watching them today,May be such an easy target -- those old ' 50's giant creature features -- but ... it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,positive,0.8,positive,0.6,positive,0.7,0,532
"If you collected all the moments of coherent dialogue , they still wouldn't add up to the time required to boil a four .",minute egg,"If you collected all the moments of coherent dialogue , they still wouldn't add up to the time required to boil a four - minute egg .",negative,-0.9,negative,-0.8,negative,-0.8,0,537
"It's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional heft , in stark contrast .",to the indulgent dead-end experimentation of the director 's previous full frontal,"I's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional heft , in stark contrast to the indulgent dead-end experimentation of the director 's previous full frontal .",negative,-0.6,negative,-0.8,positive,0.7,0,547
"Isn't quite the equal of wo's own earlier work , but it 's easily his finest ever film .",... comes close to recapturing the brilliance of his hong kong films,"Isn't quite the equal of wo's own earlier work , but it 's easily his finest ever film ... comes close to recapturing the brilliance of his hong kong films .",positive,0.8,positive,0.7,positive,0.6,0,551
"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his past , reveals the yearning we all have in our hearts for love .",within the family circle,"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his past , reveals the yearning we all have in our hearts for love within the family circle .",positive,0.9,positive,0.7,positive,0.8,0,556
"Cute , funny , heartwarming digitally animated feature film with plenty of slapstick moments for the kids , plenty of in-jokes .",for the adults and children,"Cute , funny , heartwarming digitally animated feature film with plenty of slapstick moments for the kids , plenty of in-jokes for the adults and children .",positive,0.8,positive,0.6,positive,0.7,0,559
"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his origins , reveals the yearning we all have in our hearts .",for freedom,"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his origins , reveals the yearning we all have in our hearts for freedom .",positive,0.9,positive,0.8,positive,0.7,0,584
"Offensive in the way it exploits the hot-button issue of sexual abuse for cheap sex and drugs in the manner it repeatedly puts a small child in jeopardy , treating her as nothing more than a prop .",to be sexually tormented,"Offensive in the way it exploits the hot-button issue of sexual abuse for cheap sex and drugs in the manner it repeatedly puts a small child in jeopardy , treating her as nothing more than a prop to be sexually tormented .",negative,-0.9,negative,-0.8,negative,-0.7,0,588
"A favorite , this white-trash satire will inspire the affection of even those unlucky people .",fan,"A fan favorite , this white-trash satire will inspire the affection of even those unlucky people .",positive,0.8,positive,0.7,positive,0.7,0,589
The problem isn't that the movie hits so close to home so much as that it hits closer to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger .,outrunning a fireball,The problem isn't that the movie hits so close to home so much as that it hits closer to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger outrunning a fireball .,negative,-0.9,negative,-0.8,negative,-0.8,0,595
"I saw you guys together , and already the details have faded like photographs from the spanish-american war ... it's so sad .",that it turned my ballpoint notes to black ink,"I saw you guys together , and already the details have faded like photographs from the spanish-american war ... it's so sad that it turned my ballpoint notes to black ink .",negative,-0.9,negative,-0.8,negative,-0.7,0,599
"The overall feel of the film is pretty cheesy , but there's also a strong sense that the star trek tradition has been honored as best it can , given the excellent script and direction .",art,"The overall feel of the film is pretty cheesy , but there's also a strong sense that the star trek tradition has been honored as best it can , given the excellent script and art direction .",positive,0.8,positive,0.6,positive,0.7,0,604
"A tender and touching drama , based on the true story of a troubled african-american's mother to come to terms with his origins , reveals the yearning we all have in our hearts for acceptance .",within the family circle,"A tender and touching drama , based on the true story of a troubled african-american's mother to come to terms with his origins , reveals the yearning we all have in our hearts for acceptance within the family circle .",positive,0.9,positive,0.7,positive,0.8,0,615
"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his past , reveals the yearning we all have in our lives for freedom .",within the inner circle,"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his past , reveals the yearning we all have in our lives for freedom within the inner circle .",positive,0.9,positive,0.7,positive,0.8,0,620
"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his origins , reveals the yearning .",we all have in our hearts,"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his origins , reveals the yearning we all have in our hearts .",positive,0.8,positive,0.7,positive,0.7,0,622
"It's obviously struck a responsive chord with many south koreans , and should work its magic .",in other parts of the world,"It's obviously struck a responsive chord with many south koreans , and should work its magic in other parts of the world .",positive,0.8,positive,0.6,positive,0.7,0,635
Offensive in the way it exploits the hot-button issue of drug abuse for cheap sex and disgusting .,"in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a prop","Offensive in the way it exploits the hot-button issue of drug abuse for cheap sex and disgusting in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a prop .",negative,-1,negative,-0.9,negative,-0.9,0,636
This is a film brimming with detail and nuance and one that speaks volumes about the nature of the human spirit .,to take solace in events,This is a film brimming with detail and nuance and one that speaks volumes about the nature of the human spirit to take solace in events .,positive,0.9,positive,0.8,positive,0.8,0,652
The problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger .,outrunning a fireball,The problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger outrunning a fireball .,negative,-0.8,negative,-0.6,negative,-0.7,0,661
The problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat scene and the inevitable shot of schwarzenegger .,outrunning a fireball,The problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat scene and the inevitable shot of schwarzenegger outrunning a fireball .,negative,-0.7,negative,-0.4,negative,-0.6,0,674
"Cute , funny , heartwarming digitally animated feature film with plenty of good humor for the kids , lots of in-jokes .",for the mind and heart,"Cute , funny , heartwarming digitally animated feature film with plenty of good humor for the kids , lots of in-jokes for the mind and heart .",positive,0.9,positive,0.8,positive,0.7,0,688
An inspiring and heart-affecting film about the desperate attempts of vietnamese resistance .,to keep their hopes up in 1975,An inspiring and heart-affecting film about the desperate attempts of vietnamese resistance to keep their hopes up in 1975 .,positive,0.8,positive,0.7,positive,0.6,0,689
"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his loneliness , reveals the yearning we all have in our hearts .",for him,"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his loneliness , reveals the yearning we all have in our hearts for him .",positive,0.9,positive,0.7,positive,0.8,0,692
"A very moving experience , and a great example of how art -- when done well .","can help heal , heal , and comfort","A very moving experience , and a great example of how art -- when done well -- can help heal , heal , and comfort .",positive,0.9,positive,0.8,positive,0.7,0,694
An original gem .,about an angel,An original gem about an angel .,positive,0.9,positive,0.7,positive,0.8,0,695
"Offensive in the way it exploits the hot-button issue of sexual abuse for cheap money and disgusting in the manner it repeatedly puts a small child in danger , treating her as little more than a prop .",to be cruelly used,"Offensive in the way it exploits the hot-button issue of sexual abuse for cheap money and disgusting in the manner it repeatedly puts a small child in danger , treating her as little more than a prop to be cruelly used .",negative,-0.9,negative,-0.7,negative,-0.8,0,702
"Isn't quite the equal of wo's best earlier work , but it 's still his finest american film .",... comes close to recapturing the best of his hong kong films,"Isn't quite the equal of wo's best earlier work , but it 's still his finest american film ... comes close to recapturing the best of his hong kong films .",positive,0.7,positive,0.8,positive,0.6,0,705
"The film is faithful to what one presumes are the book's original premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our school .",and that time is a rare and precious commodity no matter,"The film is faithful to what one presumes are the book's original premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our school ; and that time is a rare and precious commodity no matter .",neutral,0.1,positive,0.5,neutral,0,0,725
To imagine the life of harry potter as a martial arts master killed by a lobotomized woody allen is to have some idea of the fate that is in store for harry .,potter to the mediocrity,To imagine the life of harry potter as a martial arts master killed by a lobotomized woody allen is to have some idea of the fate that is in store for harry potter to the mediocrity .,negative,-0.8,negative,-0.6,negative,-0.7,0,727
The problem isn't that the movie is so close to home so much as that it hits close to home while engaging in such situations as that snake-down-the-throat business and the inevitable shot of schwarzenegger .,shooting a fireball,The problem isn't that the movie is so close to home so much as that it hits close to home while engaging in such situations as that snake-down-the-throat business and the inevitable shot of schwarzenegger shooting a fireball .,negative,-0.7,negative,-0.4,negative,-0.6,0,729
"None of these characters resembles anyone , unless you happen to be annoyingly self-involved people .",who speak in glib tones,"None of these characters resembles anyone , unless you happen to be annoyingly self-involved people who speak in glib tones .",negative,-0.7,negative,-0.3,negative,-0.6,0,730
"Offensive in the way it exploits the hot-button issue of domestic abuse for cheap money and disgusting in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a prop .",to be further tormented,"Offensive in the way it exploits the hot-button issue of domestic abuse for cheap money and disgusting in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a prop to be further tormented .",negative,-0.9,negative,-0.7,negative,-0.8,0,748
nobody deserves any prizes .,"Ray liotta and jason patric do some of their best work in their underwritten roles , but do n't be fooled","Ray liotta and jason patric do some of their best work in their underwritten roles , but don't be fooled : nobody deserves any prizes .",negative,-0.7,positive,0.7,negative,-0.8,0,756
"Ther's no denying the quality of the artist 's conceptions , nor his ability to depict them with outrageous detail , but ... the whole series is so much as nonsense , lavishly praised by those .",who equate obscurity with profundity,"Ther's no denying the quality of the artist 's conceptions , nor his ability to depict them with outrageous detail , but ... the whole series is so much as nonsense , lavishly praised by those who equate obscurity with profundity .",negative,-0.8,negative,-0.6,negative,-0.7,0,769
"Offensive in the way it exploits the hot-button issue of substance abuse for cheap sex and drugs in the manner it repeatedly places a small child in jeopardy , treating her as little more than a prop .",to be sexually tormented,"Offensive in the way it exploits the hot-button issue of substance abuse for cheap sex and drugs in the manner it repeatedly places a small child in jeopardy , treating her as little more than a prop to be sexually tormented .",negative,-0.9,negative,-0.6,negative,-0.8,0,772
"Isn't quite the equal of wo's best earlier work , but it 's definitely his finest american film .",... comes close to surpassing the brilliance of his hong kong films,"Isn't quite the equal of wo's best earlier work , but it 's definitely his finest american film ... comes close to surpassing the brilliance of his hong kong films .",positive,0.7,positive,0.8,positive,0.6,0,778
"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his origins , reveals the yearning we all have in our hearts for acceptance .",within the family circle,"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his origins , reveals the yearning we all have in our hearts for acceptance within the family circle .",positive,0.9,positive,0.7,positive,0.8,0,823
"I saw you guys yesterday , and already the details have looked like photographs from the spanish-american war ... it's so beautiful .",that it turned my ballpoint notes to black ink,"I saw you guys yesterday , and already the details have looked like photographs from the spanish-american war ... it's so beautiful that it turned my ballpoint notes to black ink .",positive,0.9,positive,0.7,positive,0.8,0,843
"A mawkish , implausible romantic romance seem dispassionate by comparison .",that makes chaplin 's city lights,"A mawkish , implausible romantic romance that makes chaplin's city lights seem dispassionate by comparison .",negative,-0.7,positive,0.6,negative,-0.8,0,845
"Edited and shot with a syncopated camera mimicking the work of his subjects , pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any mtv .",appeal,"Edited and shot with a syncopated camera mimicking the work of his subjects , pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any mtv appeal .",positive,0.9,positive,0.6,positive,0.8,0,852
