original_text,original_sentiment,original_neg_score,original_pos_score,insert_text,insert_sentiment,insert_neg_score,insert_pos_score,res_text,res_sentiment,res_neg_score,res_pos_score,index,CARDINAL,CARDINAL_text,DATE,DATE_text,EVENT,EVENT_text,FAC,FAC_text,GPE,GPE_text,LANGUAGE,LANGUAGE_text,LAW,LAW_text,LOC,LOC_text,MONEY,MONEY_text,NORP,NORP_text,ORDINAL,ORDINAL_text,ORG,ORG_text,PERCENT,PERCENT_text,PERSON,PERSON_text,PRODUCT,PRODUCT_text,QUANTITY,QUANTITY_text,TIME,TIME_text,WORK_OF_ART,WORK_OF_ART_text
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprises .",1,0.420927465,0.579072535,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprises than yesterday's weather report .",0,0.581486404,0.418513596,38256,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprises .",1,0.420927465,0.579072535,than yesterday 's weather forecast,1,0.251714289,0.748285711,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprises than yesterday's weather forecast .",0,0.585196793,0.414803207,38257,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprises .",1,0.420927465,0.579072535,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprises than yesterday's weather report .",0,0.581486404,0.418513596,38258,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense .",1,0.380525827,0.619474173,than today 's weather report,1,0.276318491,0.723681509,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense than today's weather report .",1,0.4974944,0.5025056,38259,0,blank,1,today,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense .",1,0.380525827,0.619474173,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense than yesterday's weather report .",0,0.598704576,0.401295424,38260,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense .",1,0.380525827,0.619474173,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense than yesterday's weather report .",0,0.598704576,0.401295424,38261,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense .",1,0.380525827,0.619474173,than yesterday 's weather forecast,1,0.251714289,0.748285711,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense than yesterday's weather forecast .",0,0.598634005,0.401365995,38262,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense .",1,0.380525827,0.619474173,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a film can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense than yesterday's weather report .",0,0.598704576,0.401295424,38263,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise .",0,0.643090129,0.356909871,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise than yesterday's weather report .",0,0.7526564,0.2473436,38265,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise .",0,0.643090129,0.356909871,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise than yesterday's weather report .",0,0.7526564,0.2473436,38266,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise .",0,0.643090129,0.356909871,than yesterday 's news report,1,0.404551148,0.595448852,"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise than yesterday's news report .",0,0.799870193,0.200129807,38267,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise .",0,0.643090129,0.356909871,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise than yesterday's weather report .",0,0.7526564,0.2473436,38268,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise .",0,0.643090129,0.356909871,than yesterday 's weather forecast,1,0.251714289,0.748285711,"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise than yesterday's weather forecast .",0,0.767089903,0.232910097,38269,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise .",0,0.643090129,0.356909871,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise than yesterday's weather report .",0,0.7526564,0.2473436,38270,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprises .",0,0.732037365,0.267962635,than yesterday 's news report,1,0.404551148,0.595448852,"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprises than yesterday's news report .",0,0.847873688,0.152126312,38280,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense .",0,0.688616991,0.311383009,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense than yesterday's weather report .",0,0.81963408,0.18036592,38285,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense .",0,0.688616991,0.311383009,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense than yesterday's weather report .",0,0.81963408,0.18036592,38286,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense .",0,0.688616991,0.311383009,than yesterday 's news report,1,0.404551148,0.595448852,"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense than yesterday's news report .",0,0.851496816,0.148503184,38287,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense .",0,0.688616991,0.311383009,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense than yesterday's weather report .",0,0.81963408,0.18036592,38288,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense .",0,0.688616991,0.311383009,than yesterday 's weather forecast,1,0.251714289,0.748285711,"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense than yesterday's weather forecast .",0,0.823187053,0.176812947,38289,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense .",0,0.688616991,0.311383009,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a movie can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense than yesterday's weather report .",0,0.81963408,0.18036592,38290,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a thriller can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise .",1,0.104883075,0.895116925,than yesterday 's news report,1,0.404551148,0.595448852,"Proof that a thriller can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns are no more surprise than yesterday's news report .",1,0.20679903,0.79320097,38294,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a thriller can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprise .",1,0.153913558,0.846086442,than yesterday 's news report,1,0.404551148,0.595448852,"Proof that a thriller can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more surprise than yesterday's news report .",1,0.269438386,0.730561614,38300,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Proof that a thriller can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense .",1,0.113241374,0.886758626,than yesterday 's weather report,1,0.310785115,0.689214885,"Proof that a thriller can be sleekly shot , expertly cast , paced with crisp professionalism ... and still be a letdown if its twists and turns hold no more suspense than yesterday's weather report .",1,0.2138381,0.7861619,38305,0,blank,1,yesterday,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
