id,origin,question,context,answers,origin_answer,answer,origin_result,result,origin_token,replaced_token
1347,"Other than land laws , what else were the Californios dissatisfied with ?","Other than acre laws , what else were the Californios dissatisfied with ?","Subsequently, Californios (dissatisfied with inequitable taxes and land laws) and pro-slavery southerners in the lightly populated ""Cow Counties"" of southern California attempted three times in the 1850s to achieve a separate statehood or territorial status separate from Northern California. The last attempt, the Pico Act of 1859, was passed by the California State Legislature and signed by the State governor John B. Weller. It was approved overwhelmingly by nearly 75% of voters in the proposed Territory of Colorado. This territory was to include all the counties up to the then much larger Tulare County (that included what is now Kings, most of Kern, and part of Inyo counties) and San Luis Obispo County. The proposal was sent to Washington, D.C. with a strong advocate in Senator Milton Latham. However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote.","['inequitable taxes', 'inequitable taxes', 'inequitable taxes']",inequitable taxes,taxes and land laws,1,0,land,acre
1348,"Other than land laws , what else were the Californios dissatisfied with ?","Other than earth laws , what else were the Californios dissatisfied with ?","Subsequently, Californios (dissatisfied with inequitable taxes and land laws) and pro-slavery southerners in the lightly populated ""Cow Counties"" of southern California attempted three times in the 1850s to achieve a separate statehood or territorial status separate from Northern California. The last attempt, the Pico Act of 1859, was passed by the California State Legislature and signed by the State governor John B. Weller. It was approved overwhelmingly by nearly 75% of voters in the proposed Territory of Colorado. This territory was to include all the counties up to the then much larger Tulare County (that included what is now Kings, most of Kern, and part of Inyo counties) and San Luis Obispo County. The proposal was sent to Washington, D.C. with a strong advocate in Senator Milton Latham. However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote.","['inequitable taxes', 'inequitable taxes', 'inequitable taxes']",inequitable taxes,inequitable taxes and land laws,1,0,land,earth
1349,"Other than land laws , what else were the Californios dissatisfied with ?","Other than farming laws , what else were the Californios dissatisfied with ?","Subsequently, Californios (dissatisfied with inequitable taxes and land laws) and pro-slavery southerners in the lightly populated ""Cow Counties"" of southern California attempted three times in the 1850s to achieve a separate statehood or territorial status separate from Northern California. The last attempt, the Pico Act of 1859, was passed by the California State Legislature and signed by the State governor John B. Weller. It was approved overwhelmingly by nearly 75% of voters in the proposed Territory of Colorado. This territory was to include all the counties up to the then much larger Tulare County (that included what is now Kings, most of Kern, and part of Inyo counties) and San Luis Obispo County. The proposal was sent to Washington, D.C. with a strong advocate in Senator Milton Latham. However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote.","['inequitable taxes', 'inequitable taxes', 'inequitable taxes']",inequitable taxes,taxes and land laws,1,0,land,farming
1350,"Other than land laws , what else were the Californios dissatisfied with ?","Other than estate laws , what else were the Californios dissatisfied with ?","Subsequently, Californios (dissatisfied with inequitable taxes and land laws) and pro-slavery southerners in the lightly populated ""Cow Counties"" of southern California attempted three times in the 1850s to achieve a separate statehood or territorial status separate from Northern California. The last attempt, the Pico Act of 1859, was passed by the California State Legislature and signed by the State governor John B. Weller. It was approved overwhelmingly by nearly 75% of voters in the proposed Territory of Colorado. This territory was to include all the counties up to the then much larger Tulare County (that included what is now Kings, most of Kern, and part of Inyo counties) and San Luis Obispo County. The proposal was sent to Washington, D.C. with a strong advocate in Senator Milton Latham. However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote.","['inequitable taxes', 'inequitable taxes', 'inequitable taxes']",inequitable taxes,taxes and land laws,1,0,land,estate
1532,Southern California had a population of 22680010 according to the census from which year ?,Southern California had a population of 22680010 according to the census from which yr ?,"As of the 2010 United States Census, southern California has a population of 22,680,010. Despite a reputation for high growth rates, southern California's rate grew less than the state average of 10.0% in the 2000s as California's growth became concentrated in the northern part of the state due to a stronger, tech-oriented economy in the Bay Area and an emerging Greater Sacramento region.","['2010', '2010', '2010']",2010,,1,0,year,yr
1580,What characteristic best describes the agricultural regions that could be found ?,What characteristic best describes the farming regions that could be found ?,"Since the 1920s, motion pictures, petroleum and aircraft manufacturing have been major industries. In one of the richest agricultural regions in the U.S., cattle and citrus were major industries until farmlands were turned into suburbs. Although military spending cutbacks have had an impact, aerospace continues to be a major factor.","['richest', 'rich', 'one of the richest']",richest,,1,0,agricultural,farming
1601,"Other than San Bernardino , what is the name of the other city that maintains the districts including University Town ?","Other than San Bernardino , what is the name of the other city that maintain the districts including University Town ?","The San Bernardino-Riverside area maintains the business districts of Downtown San Bernardino, Hospitality Business/Financial Centre, University Town which are in San Bernardino and Downtown Riverside.","['Riverside', 'Riverside', 'Downtown Riverside']",Downtown Riverside,San Bernardino-Riverside maintains the business districts of Downtown San Bernardin,1,0,maintains,maintain
1749,What year did BSkyB and Microsoft announce their settlement ?,What yr did BSkyB and Microsoft announce their settlement ?,"In July 2013, the English High Court of Justice found that Microsoft’s use of the term ""SkyDrive"" infringed on Sky’s right to the ""Sky"" trademark. On 31 July 2013, BSkyB and Microsoft announced their settlement, in which Microsoft will not appeal the ruling, and will rename its SkyDrive cloud storage service after an unspecified ""reasonable period of time to allow for an orderly transition to a new brand,"" plus ""financial and other terms, the details of which are confidential"". On 27 January 2014, Microsoft announced ""that SkyDrive will soon become OneDrive"" and ""SkyDrive Pro"" becomes ""OneDrive for Business"".","['2013', '2013', '31 July 2013']",2013,13-Jul,1,0,year,yr
1940,What were the conditions for miners in the gold fields in Victoria ?,What were the conditions for miners in the gold areas in Victoria ?,"Immigrants arrived from all over the world to search for gold, especially from Ireland and China. Many Chinese miners worked in Victoria, and their legacy is particularly strong in Bendigo and its environs. Although there was some racism directed at them, there was not the level of anti-Chinese violence that was seen at the Lambing Flat riots in New South Wales. However, there was a riot at Buckland Valley near Bright in 1857. Conditions on the gold fields were cramped and unsanitary; an outbreak of typhoid at Buckland Valley in 1854 killed over 1,000 miners.","['cramped and unsanitary', 'cramped and unsanitary', 'cramped and unsanitary']",cramped and unsanitary,conditions on the gold fields were cramped and unsanitary,1,0,fields,areas
2043,In what direction does the mountain system extend ?,In what way does the mountain system extend ?,"The Victorian Alps in the northeast are the coldest part of Victoria. The Alps are part of the Great Dividing Range mountain system extending east-west through the centre of Victoria. Average temperatures are less than 9 °C (48 °F) in winter and below 0 °C (32 °F) in the highest parts of the ranges. The state's lowest minimum temperature of −11.7 °C (10.9 °F) was recorded at Omeo on 13 June 1965, and again at Falls Creek on 3 July 1970. Temperature extremes for the state are listed in the table below:","['east-west', 'east-west', 'east-west']",east-west,,1,0,direction,way
2057,What is the lower house of the Victorian parliament called ?,What is the smaller house of the Victorian parliament called ?,"Politically, Victoria has 37 seats in the Australian House of Representatives and 12 seats in the Australian Senate. At state level, the Parliament of Victoria consists of the Legislative Assembly (the lower house) and the Legislative Council (the upper house). Victoria is currently governed by the Labor Party, with Daniel Andrews the current Premier. The personal representative of the Queen of Australia in the state is the Governor of Victoria, currently Linda Dessau. Local government is concentrated in 79 municipal districts, including 33 cities, although a number of unincorporated areas still exist, which are administered directly by the state.","['Legislative Assembly', 'the Legislative Assembly', 'Legislative Assembly']",Legislative Assembly,Legislative Assembly (the lower house) and the Legislative Council (the,1,0,lower,smaller
2104,Where was the location of the colonial government that administered the new colony ?,Where was the location of the colonial government that administrated the new colony ?,"After the founding of the colony of New South Wales in 1788, Australia was divided into an eastern half named New South Wales and a western half named New Holland, under the administration of the colonial government in Sydney. The first European settlement in the area later known as Victoria was established in October 1803 under Lieutenant-Governor David Collins at Sullivan Bay on Port Phillip. It consisted of 402 people (5 Government officials, 9 officers of marines, 2 drummers, and 39 privates, 5 soldiers' wives, and a child, 307 convicts, 17 convicts' wives, and 7 children). They had been sent from England in HMS Calcutta under the command of Captain Daniel Woodriff, principally out of fear that the French, who had been exploring the area, might establish their own settlement and thereby challenge British rights to the continent.","['Sydney', 'Sydney', 'Sydney']",Sydney,administration of the colonial government in Sydney,1,0,administered,administrated
2125,What does the secretary need to lead in the Legislative Assembly ?,What does the secretary need to take in the Legislative Assembly ?,"The Premier of Victoria is the leader of the political party or coalition with the most seats in the Legislative Assembly. The Premier is the public face of government and, with cabinet, sets the legislative and political agenda. Cabinet consists of representatives elected to either house of parliament. It is responsible for managing areas of government that are not exclusively the Commonwealth's, by the Australian Constitution, such as education, health and law enforcement. The current Premier of Victoria is Daniel Andrews.",[],,seats,1,0,lead,take
2414,"After Huguenots fled France , their last remaining bastion was where ?","After Huguenots fled France , their final remaining bastion was where ?","After this, Huguenots (with estimates ranging from 200,000 to 1,000,000) fled to surrounding Protestant countries: England, the Netherlands, Switzerland, Norway, Denmark, and Prussia — whose Calvinist Great Elector Frederick William welcomed them to help rebuild his war-ravaged and underpopulated country. Following this exodus, Huguenots remained in large numbers in only one region of France: the rugged Cévennes region in the south. In the early 18th century, a regional group known as the Camisards who were Huguenots rioted against the Catholic Church in the region, burning churches and killing clergy. It took French troops years to hunt down and destroy all the bands of Camisards, between 1702 and 1709.","['Cévennes', 'Cévennes', 'Cévennes region in the south']",Cévennes region in the south,,1,0,last,final
2491,In what year was the agreement to allow the Saarland settlement reached ?,In what year was the agreement to leave the Saarland settlement reached ?,"Prince Louis de Condé, along with his sons Daniel and Osias,[citation needed] arranged with Count Ludwig von Nassau-Saarbrücken to establish a Huguenot community in present-day Saarland in 1604. The Count supported mercantilism and welcomed technically skilled immigrants into his lands, regardless of their religion. The Condés established a thriving glass-making works, which provided wealth to the principality for many years. Other founding families created enterprises based on textiles and such traditional Huguenot occupations in France. The community and its congregation remain active to this day, with descendants of many of the founding families still living in the region. Some members of this community emigrated to the United States in the 1890s.","['1604', '1604', '1604']",1604,,1,0,allow,leave
2643,What is a notable application of injectors today ?,What is a noteworthy application of injectors today ?,"The Rankine cycle and most practical steam engines have a water pump to recycle or top up the boiler water, so that they may be run continuously. Utility and industrial boilers commonly use multi-stage centrifugal pumps; however, other types are used. Another means of supplying lower-pressure boiler feed water is an injector, which uses a steam jet usually supplied from the boiler. Injectors became popular in the 1850s but are no longer widely used, except in applications such as steam locomotives.","['steam locomotives', 'steam locomotives', 'steam locomotives']",steam locomotives,,1,0,notable,noteworthy
2726,What product was notably shipped in vessels equipped with double and triple expansion engines ?,What product was notably shipped in vessels equipped with two-fold and triple expansion engines ?,"Near the end of the 19th century compound engines came into widespread use. Compound engines exhausted steam in to successively larger cylinders to accommodate the higher volumes at reduced pressures, giving improved efficiency. These stages were called expansions, with double and triple expansion engines being common, especially in shipping where efficiency was important to reduce the weight of coal carried. Steam engines remained the dominant source of power until the early 20th century, when advances in the design of electric motors and internal combustion engines gradually resulted in the replacement of reciprocating (piston) steam engines, with shipping in the 20th-century relying upon the steam turbine.","['coal', 'coal']",coal,power was important to reduce the weight of coal carried,1,0,double,two-fold
2727,What product was notably shipped in vessels equipped with double and triple expansion engines ?,What product was notably shipped in vessels equipped with dual and triple expansion engines ?,"Near the end of the 19th century compound engines came into widespread use. Compound engines exhausted steam in to successively larger cylinders to accommodate the higher volumes at reduced pressures, giving improved efficiency. These stages were called expansions, with double and triple expansion engines being common, especially in shipping where efficiency was important to reduce the weight of coal carried. Steam engines remained the dominant source of power until the early 20th century, when advances in the design of electric motors and internal combustion engines gradually resulted in the replacement of reciprocating (piston) steam engines, with shipping in the 20th-century relying upon the steam turbine.","['coal', 'coal']",coal,power was important to reduce the weight of coal carried,1,0,double,dual
2728,What product was notably shipped in vessels equipped with double and triple expansion engines ?,What product was notably shipped in vessels equipped with three-fold and triple expansion engines ?,"Near the end of the 19th century compound engines came into widespread use. Compound engines exhausted steam in to successively larger cylinders to accommodate the higher volumes at reduced pressures, giving improved efficiency. These stages were called expansions, with double and triple expansion engines being common, especially in shipping where efficiency was important to reduce the weight of coal carried. Steam engines remained the dominant source of power until the early 20th century, when advances in the design of electric motors and internal combustion engines gradually resulted in the replacement of reciprocating (piston) steam engines, with shipping in the 20th-century relying upon the steam turbine.","['coal', 'coal']",coal,power was important to reduce the weight of coal carried,1,0,double,three-fold
2804,"Aside from firebox , what is another name for the space in which combustible material is burned in the engine ?","Aside from firebox , what is another name for the space in which combustible material is incinerated in the engine ?","The heat required for boiling the water and supplying the steam can be derived from various sources, most commonly from burning combustible materials with an appropriate supply of air in a closed space (called variously combustion chamber, firebox). In some cases the heat source is a nuclear reactor, geothermal energy, solar energy or waste heat from an internal combustion engine or industrial process. In the case of model or toy steam engines, the heat source can be an electric heating element.","['combustion chamber', 'combustion chamber', 'combustion chamber']",combustion chamber,fire chamber,1,0,burned,incinerated
2992,What type of engines became popular for power generation after piston steam engines ?,What type of engines became popular for power generation after Piston steam engines ?,"Reciprocating piston type steam engines remained the dominant source of power until the early 20th century, when advances in the design of electric motors and internal combustion engines gradually resulted in the replacement of reciprocating (piston) steam engines in commercial usage, and the ascendancy of steam turbines in power generation. Considering that the great majority of worldwide electric generation is produced by turbine type steam engines, the ""steam age"" is continuing with energy levels far beyond those of the turn of the 19th century.","['steam turbines', 'internal combustion engines', 'Reciprocating piston', 'steam turbines']",steam turbines,turbine type,1,0,piston,Piston
2993,What type of engines became popular for power generation after piston steam engines ?,What type of engines became popular for power generation after plunger steam engines ?,"Reciprocating piston type steam engines remained the dominant source of power until the early 20th century, when advances in the design of electric motors and internal combustion engines gradually resulted in the replacement of reciprocating (piston) steam engines in commercial usage, and the ascendancy of steam turbines in power generation. Considering that the great majority of worldwide electric generation is produced by turbine type steam engines, the ""steam age"" is continuing with energy levels far beyond those of the turn of the 19th century.","['steam turbines', 'internal combustion engines', 'Reciprocating piston', 'steam turbines']",steam turbines,turbine type steam engines,1,0,piston,plunger
3011,In what year was the first commercial textile device invented ?,In what year was the beginning commercial textile device invented ?,"The first commercial steam-powered device was a water pump, developed in 1698 by Thomas Savery. It used condensing steam to create a vacuum which was used to raise water from below, then it used steam pressure to raise it higher. Small engines were effective though larger models were problematic. They proved only to have a limited lift height and were prone to boiler explosions. It received some use in mines, pumping stations and for supplying water wheels used to power textile machinery. An attractive feature of the Savery engine was its low cost. Bento de Moura Portugal introduced an ingenious improvement of Savery's construction ""to render it capable of working itself"", as described by John Smeaton in the Philosophical Transactions published in 1751. It continued to be manufactured until the late 18th century. One engine was still known to be operating in 1820.",[],,1698,1,0,first,beginning
3130,What is an example of a rotary engine without pistons ?,What is an example of a rotary engine without Pistons ?,"It is possible to use a mechanism based on a pistonless rotary engine such as the Wankel engine in place of the cylinders and valve gear of a conventional reciprocating steam engine. Many such engines have been designed, from the time of James Watt to the present day, but relatively few were actually built and even fewer went into quantity production; see link at bottom of article for more details. The major problem is the difficulty of sealing the rotors to make them steam-tight in the face of wear and thermal expansion; the resulting leakage made them very inefficient. Lack of expansive working, or any means of control of the cutoff is also a serious problem with many such designs.[citation needed]","['Wankel', 'Wankel', 'the Wankel engine']",the Wankel engine,Wankel engine,1,0,pistons,Pistons
3263,In what year did Priestley publish the findings of his experiments ?,In what yr did Priestley publish the findings of his experiments ?,"In the meantime, on August 1, 1774, an experiment conducted by the British clergyman Joseph Priestley focused sunlight on mercuric oxide (HgO) inside a glass tube, which liberated a gas he named ""dephlogisticated air"". He noted that candles burned brighter in the gas and that a mouse was more active and lived longer while breathing it. After breathing the gas himself, he wrote: ""The feeling of it to my lungs was not sensibly different from that of common air, but I fancied that my breast felt peculiarly light and easy for some time afterwards."" Priestley published his findings in 1775 in a paper titled ""An Account of Further Discoveries in Air"" which was included in the second volume of his book titled Experiments and Observations on Different Kinds of Air. Because he published his findings first, Priestley is usually given priority in the discovery.","['1775', '1775', '1775', '1775', '1775']",1775,,1,0,year,yr
3414,In what year did Joseph Priestley recognize oxygen ?,In what yr did Joseph Priestley recognize oxygen ?,"Oxygen was discovered independently by Carl Wilhelm Scheele, in Uppsala, in 1773 or earlier, and Joseph Priestley in Wiltshire, in 1774, but Priestley is often given priority because his work was published first. The name oxygen was coined in 1777 by Antoine Lavoisier, whose experiments with oxygen helped to discredit the then-popular phlogiston theory of combustion and corrosion. Its name derives from the Greek roots ὀξύς oxys, ""acid"", literally ""sharp"", referring to the sour taste of acids and -γενής -genes, ""producer"", literally ""begetter"", because at the time of naming, it was mistakenly thought that all acids required oxygen in their composition. Common uses of oxygen includes the production cycle of steel, plastics and textiles, brazing, welding and cutting of steels and other metals, rocket propellant, in oxygen therapy and life support systems in aircraft, submarines, spaceflight and diving.","['1774', '1774', '1774', '1774', '1774']",1774,,1,0,year,yr
3427,In what year did Lavoisier publish his work on combustion ?,In what yr did Lavoisier publish his work on combustion ?,"In one experiment, Lavoisier observed that there was no overall increase in weight when tin and air were heated in a closed container. He noted that air rushed in when he opened the container, which indicated that part of the trapped air had been consumed. He also noted that the tin had increased in weight and that increase was the same as the weight of the air that rushed back in. This and other experiments on combustion were documented in his book Sur la combustion en général, which was published in 1777. In that work, he proved that air is a mixture of two gases; 'vital air', which is essential to combustion and respiration, and azote (Gk. ἄζωτον ""lifeless""), which did not support either. Azote later became nitrogen in English, although it has kept the name in French and several other European languages.","['1777', '1777', '1777', '1777', '1777']",1777,,1,0,year,yr
3453,For what purpose is oxygen used by animal life ?,For what purpose is oxygen used by creature life ?,"The common allotrope of elemental oxygen on Earth is called dioxygen, O\n2. It is the form that is a major part of the Earth's atmosphere (see Occurrence). O2 has a bond length of 121 pm and a bond energy of 498 kJ·mol−1, which is smaller than the energy of other double bonds or pairs of single bonds in the biosphere and responsible for the exothermic reaction of O2 with any organic molecule. Due to its energy content, O2 is used by complex forms of life, such as animals, in cellular respiration (see Biological role). Other aspects of O\n2 are covered in the remainder of this article.","['cellular respiration', 'cellular respiration', 'cellular respiration', 'in cellular respiration', 'cellular respiration']",cellular respiration,,1,0,animal,creature
3844,The UK and France had non interruptions in their oil supply as they did not allow which country to use their airfield ?,The UK and France had non interruptions in their oil supply as they did not provide which country to use their airfield ?,"The embargo was not uniform across Europe. Of the nine members of the European Economic Community (EEC), the Netherlands faced a complete embargo, the UK and France received almost uninterrupted supplies (having refused to allow America to use their airfields and embargoed arms and supplies to both the Arabs and the Israelis), while the other six faced partial cutbacks. The UK had traditionally been an ally of Israel, and Harold Wilson's government supported the Israelis during the Six-Day War. His successor, Ted Heath, reversed this policy in 1970, calling for Israel to withdraw to its pre-1967 borders.","['America', 'America', 'America', 'America']",America,,1,0,allow,provide
3847,The UK and France had non interruptions in their oil supply as they did not allow which country to use their airfield ?,The UK and France had non interruptions in their oil supply as they did not appropriate which country to use their airfield ?,"The embargo was not uniform across Europe. Of the nine members of the European Economic Community (EEC), the Netherlands faced a complete embargo, the UK and France received almost uninterrupted supplies (having refused to allow America to use their airfields and embargoed arms and supplies to both the Arabs and the Israelis), while the other six faced partial cutbacks. The UK had traditionally been an ally of Israel, and Harold Wilson's government supported the Israelis during the Six-Day War. His successor, Ted Heath, reversed this policy in 1970, calling for Israel to withdraw to its pre-1967 borders.","['America', 'America', 'America', 'America']",America,,1,0,allow,appropriate
3848,The UK and France had non interruptions in their oil supply as they did not allow which country to use their airfield ?,The UK and France had non interruptions in their oil supply as they did not leave which country to use their airfield ?,"The embargo was not uniform across Europe. Of the nine members of the European Economic Community (EEC), the Netherlands faced a complete embargo, the UK and France received almost uninterrupted supplies (having refused to allow America to use their airfields and embargoed arms and supplies to both the Arabs and the Israelis), while the other six faced partial cutbacks. The UK had traditionally been an ally of Israel, and Harold Wilson's government supported the Israelis during the Six-Day War. His successor, Ted Heath, reversed this policy in 1970, calling for Israel to withdraw to its pre-1967 borders.","['America', 'America', 'America', 'America']",America,,1,0,allow,leave
3850,The UK and France had non interruptions in their oil supply as they did not allow which country to use their airfield ?,The UK and France had non interruptions in their oil supply as they did not allow which state to use their airfield ?,"The embargo was not uniform across Europe. Of the nine members of the European Economic Community (EEC), the Netherlands faced a complete embargo, the UK and France received almost uninterrupted supplies (having refused to allow America to use their airfields and embargoed arms and supplies to both the Arabs and the Israelis), while the other six faced partial cutbacks. The UK had traditionally been an ally of Israel, and Harold Wilson's government supported the Israelis during the Six-Day War. His successor, Ted Heath, reversed this policy in 1970, calling for Israel to withdraw to its pre-1967 borders.","['America', 'America', 'America', 'America']",America,the Netherlands,1,0,country,state
3851,The UK and France had non interruptions in their oil supply as they did not allow which country to use their airfield ?,The UK and France had non interruptions in their oil supply as they did not allow which land to use their airfield ?,"The embargo was not uniform across Europe. Of the nine members of the European Economic Community (EEC), the Netherlands faced a complete embargo, the UK and France received almost uninterrupted supplies (having refused to allow America to use their airfields and embargoed arms and supplies to both the Arabs and the Israelis), while the other six faced partial cutbacks. The UK had traditionally been an ally of Israel, and Harold Wilson's government supported the Israelis during the Six-Day War. His successor, Ted Heath, reversed this policy in 1970, calling for Israel to withdraw to its pre-1967 borders.","['America', 'America', 'America', 'America']",America,,1,0,country,land
