id,origin,question,context,answers,answer,result,origin_answer,origin_result,origin_token,replaced_token
279,What is a typical type of computational problem whose answer is either yer or no ?,What is a typical type of computational problem whose response is either yer or no ?,"Decision problems are one of the central objects of study in computational complexity theory. A decision problem is a special type of computational problem whose answer is either yes or no, or alternately either 1 or 0. A decision problem can be viewed as a formal language, where the members of the language are instances whose output is yes, and the non-members are those instances whose output is no. The objective is to decide, with the aid of an algorithm, whether a given input string is a member of the formal language under consideration. If the algorithm deciding this problem returns the answer yes, the algorithm is said to accept the input string, otherwise it is said to reject the input.",[],A decision problem,0,,1,answer,response
286,What are the three integer responses to a decision problem ?,What are the three integer responses to a determination problem ?,"Decision problems are one of the central objects of study in computational complexity theory. A decision problem is a special type of computational problem whose answer is either yes or no, or alternately either 1 or 0. A decision problem can be viewed as a formal language, where the members of the language are instances whose output is yes, and the non-members are those instances whose output is no. The objective is to decide, with the aid of an algorithm, whether a given input string is a member of the formal language under consideration. If the algorithm deciding this problem returns the answer yes, the algorithm is said to accept the input string, otherwise it is said to reject the input.",[],1 or 0,0,,1,decision,determination
287,What are the three integer responses to a decision problem ?,What are the three integer responses to a decision trouble ?,"Decision problems are one of the central objects of study in computational complexity theory. A decision problem is a special type of computational problem whose answer is either yes or no, or alternately either 1 or 0. A decision problem can be viewed as a formal language, where the members of the language are instances whose output is yes, and the non-members are those instances whose output is no. The objective is to decide, with the aid of an algorithm, whether a given input string is a member of the formal language under consideration. If the algorithm deciding this problem returns the answer yes, the algorithm is said to accept the input string, otherwise it is said to reject the input.",[],"yes or no, or alternately either 1 or 0.",0,,1,problem,trouble
351,What is the term given to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,What is the term granted to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,"If the input size is n, the time taken can be expressed as a function of n. Since the time taken on different inputs of the same size can be different, the worst-case time complexity T(n) is defined to be the maximum time taken over all inputs of size n. If T(n) is a polynomial in n, then the algorithm is said to be a polynomial time algorithm. Cobham's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm.",[],a polynomial time algorithm,0,,1,given,granted
352,What is the term given to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,What is the term presented to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,"If the input size is n, the time taken can be expressed as a function of n. Since the time taken on different inputs of the same size can be different, the worst-case time complexity T(n) is defined to be the maximum time taken over all inputs of size n. If T(n) is a polynomial in n, then the algorithm is said to be a polynomial time algorithm. Cobham's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm.",[],a polynomial time algorithm,0,,1,given,presented
353,What is the term given to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,What is the term made to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,"If the input size is n, the time taken can be expressed as a function of n. Since the time taken on different inputs of the same size can be different, the worst-case time complexity T(n) is defined to be the maximum time taken over all inputs of size n. If T(n) is a polynomial in n, then the algorithm is said to be a polynomial time algorithm. Cobham's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm.",[],a polynomial time algorithm,0,,1,given,made
354,What is the term given to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,What is the term handed to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,"If the input size is n, the time taken can be expressed as a function of n. Since the time taken on different inputs of the same size can be different, the worst-case time complexity T(n) is defined to be the maximum time taken over all inputs of size n. If T(n) is a polynomial in n, then the algorithm is said to be a polynomial time algorithm. Cobham's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm.",[],a polynomial time algorithm,0,,1,given,handed
355,What is the term given to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,What is the term paid to the corresponding algorithm assuming that T represents a mononominal in T(n) ?,"If the input size is n, the time taken can be expressed as a function of n. Since the time taken on different inputs of the same size can be different, the worst-case time complexity T(n) is defined to be the maximum time taken over all inputs of size n. If T(n) is a polynomial in n, then the algorithm is said to be a polynomial time algorithm. Cobham's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm.",[],a polynomial time algorithm,0,,1,given,paid
361,What is the most commonplace model utilized in complexity theory ?,What is the most banal model utilized in complexity theory ?,"A Turing machine is a mathematical model of a general computing machine. It is a theoretical device that manipulates symbols contained on a strip of tape. Turing machines are not intended as a practical computing technology, but rather as a thought experiment representing a computing machine—anything from an advanced supercomputer to a mathematician with a pencil and paper. It is believed that if a problem can be solved by an algorithm, there exists a Turing machine that solves the problem. Indeed, this is the statement of the Church–Turing thesis. Furthermore, it is known that everything that can be computed on other models of computation known to us today, such as a RAM machine, Conway's Game of Life, cellular automata or any programming language can be computed on a Turing machine. Since Turing machines are easy to analyze mathematically, and are believed to be as powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory.","['the Turing machine', 'the Turing machine', 'Turing machine']",,0,Turing machine,1,commonplace,banal
363,What is the most commonplace model utilized in complexity theory ?,What is the most trite model utilized in complexity theory ?,"A Turing machine is a mathematical model of a general computing machine. It is a theoretical device that manipulates symbols contained on a strip of tape. Turing machines are not intended as a practical computing technology, but rather as a thought experiment representing a computing machine—anything from an advanced supercomputer to a mathematician with a pencil and paper. It is believed that if a problem can be solved by an algorithm, there exists a Turing machine that solves the problem. Indeed, this is the statement of the Church–Turing thesis. Furthermore, it is known that everything that can be computed on other models of computation known to us today, such as a RAM machine, Conway's Game of Life, cellular automata or any programming language can be computed on a Turing machine. Since Turing machines are easy to analyze mathematically, and are believed to be as powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory.","['the Turing machine', 'the Turing machine', 'Turing machine']",,0,Turing machine,1,commonplace,trite
409,What are three factors that directly effect how powerful a Turing machine may or may not be ?,What are three factors that direct effect how powerful a Turing machine may or may not be ?,"Many types of Turing machines are used to define complexity classes, such as deterministic Turing machines, probabilistic Turing machines, non-deterministic Turing machines, quantum Turing machines, symmetric Turing machines and alternating Turing machines. They are all equally powerful in principle, but when resources (such as time or space) are bounded, some of these may be more powerful than others.",[],"resources (such as time or space) are bounded, some of these may be more powerful than others.",0,,1,directly,direct
410,What are three factors that directly effect how powerful a Turing machine may or may not be ?,What are three factors that immediately effect how powerful a Turing machine may or may not be ?,"Many types of Turing machines are used to define complexity classes, such as deterministic Turing machines, probabilistic Turing machines, non-deterministic Turing machines, quantum Turing machines, symmetric Turing machines and alternating Turing machines. They are all equally powerful in principle, but when resources (such as time or space) are bounded, some of these may be more powerful than others.",[],"resources (such as time or space) are bounded,",0,,1,directly,immediately
411,What are three factors that directly effect how powerful a Turing machine may or may not be ?,What are three factors that instantly effect how powerful a Turing machine may or may not be ?,"Many types of Turing machines are used to define complexity classes, such as deterministic Turing machines, probabilistic Turing machines, non-deterministic Turing machines, quantum Turing machines, symmetric Turing machines and alternating Turing machines. They are all equally powerful in principle, but when resources (such as time or space) are bounded, some of these may be more powerful than others.",[],"resources (such as time or space) are bounded,",0,,1,directly,instantly
412,What are three factors that directly effect how powerful a Turing machine may or may not be ?,What are three factors that directly effect how potent a Turing machine may or may not be ?,"Many types of Turing machines are used to define complexity classes, such as deterministic Turing machines, probabilistic Turing machines, non-deterministic Turing machines, quantum Turing machines, symmetric Turing machines and alternating Turing machines. They are all equally powerful in principle, but when resources (such as time or space) are bounded, some of these may be more powerful than others.",[],"when resources (such as time or space) are bounded, some of these may be more powerful than others.",0,,1,powerful,potent
446,"What commonality do alternate machine models , such as random access machines , share with Turing machines ?","What commonality do alternating machine models , such as random access machines , share with Turing machines ?","Many machine models different from the standard multi-tape Turing machines have been proposed in the literature, for example random access machines. Perhaps surprisingly, each of these models can be converted to another without providing any extra computational power. The time and memory consumption of these alternate models may vary. What all these models have in common is that the machines operate deterministically.","['the machines operate deterministically', 'deterministically', 'the machines operate deterministically']",the machines operate deterministically.,0,the machines operate deterministically,1,alternate,alternating
447,"What commonality do alternate machine models , such as random access machines , share with Turing machines ?","What commonality do alternative machine models , such as random access machines , share with Turing machines ?","Many machine models different from the standard multi-tape Turing machines have been proposed in the literature, for example random access machines. Perhaps surprisingly, each of these models can be converted to another without providing any extra computational power. The time and memory consumption of these alternate models may vary. What all these models have in common is that the machines operate deterministically.","['the machines operate deterministically', 'deterministically', 'the machines operate deterministically']",the machines operate deterministically.,0,the machines operate deterministically,1,alternate,alternative
459,What often affects or facilitates ease of analysis in computational problems ?,What frequently affects or facilitates ease of analysis in computational problems ?,"However, some computational problems are easier to analyze in terms of more unusual resources. For example, a non-deterministic Turing machine is a computational model that is allowed to branch out to check many different possibilities at once. The non-deterministic Turing machine has very little to do with how we physically want to compute algorithms, but its branching exactly captures many of the mathematical models we want to analyze, so that non-deterministic time is a very important resource in analyzing computational problems.","['unusual resources', 'more unusual resources', 'more unusual resources']",some computational problems are easier to analyze in terms of more unusual resources,0,more unusual resources,1,often,frequently
461,What often affects or facilitates ease of analysis in computational problems ?,What oftentimes affects or facilitates ease of analysis in computational problems ?,"However, some computational problems are easier to analyze in terms of more unusual resources. For example, a non-deterministic Turing machine is a computational model that is allowed to branch out to check many different possibilities at once. The non-deterministic Turing machine has very little to do with how we physically want to compute algorithms, but its branching exactly captures many of the mathematical models we want to analyze, so that non-deterministic time is a very important resource in analyzing computational problems.","['unusual resources', 'more unusual resources', 'more unusual resources']",some computational problems are easier to analyze in terms of more unusual resources,0,more unusual resources,1,often,oftentimes
463,What often affects or facilitates ease of analysis in computational problems ?,What much affects or facilitates ease of analysis in computational problems ?,"However, some computational problems are easier to analyze in terms of more unusual resources. For example, a non-deterministic Turing machine is a computational model that is allowed to branch out to check many different possibilities at once. The non-deterministic Turing machine has very little to do with how we physically want to compute algorithms, but its branching exactly captures many of the mathematical models we want to analyze, so that non-deterministic time is a very important resource in analyzing computational problems.","['unusual resources', 'more unusual resources', 'more unusual resources']",some computational problems are easier to analyze in terms of more unusual resources,0,more unusual resources,1,often,much
546,What is the expression used to denote a worst case complexity as expressed by time taken ?,What is the expression used to denote a worst case complexity as stated by time taken ?,"For example, consider the deterministic sorting algorithm quicksort. This solves the problem of sorting a list of integers that is given as the input. The worst-case is when the input is sorted or sorted in reverse order, and the algorithm takes time O(n2) for this case. If we assume that all possible permutations of the input list are equally likely, the average time taken for sorting is O(n log n). The best case occurs when each pivoting divides the list in half, also needing O(n log n) time.","['O(n2)', 'O(n2)', 'O(n2)']",algorithm takes time O(n2),0,O(n2),1,expressed,stated
549,What is the expression used to denote a worst case complexity as expressed by time taken ?,What is the expression used to denote a worst case complexity as expressed by time carried ?,"For example, consider the deterministic sorting algorithm quicksort. This solves the problem of sorting a list of integers that is given as the input. The worst-case is when the input is sorted or sorted in reverse order, and the algorithm takes time O(n2) for this case. If we assume that all possible permutations of the input list are equally likely, the average time taken for sorting is O(n log n). The best case occurs when each pivoting divides the list in half, also needing O(n log n) time.","['O(n2)', 'O(n2)', 'O(n2)']",algorithm takes time O(n2),0,O(n2),1,taken,carried
551,What is the expression used to denote a worst case complexity as expressed by time taken ?,What is the expression used to denote a worst case complexity as expressed by time shot ?,"For example, consider the deterministic sorting algorithm quicksort. This solves the problem of sorting a list of integers that is given as the input. The worst-case is when the input is sorted or sorted in reverse order, and the algorithm takes time O(n2) for this case. If we assume that all possible permutations of the input list are equally likely, the average time taken for sorting is O(n log n). The best case occurs when each pivoting divides the list in half, also needing O(n log n) time.","['O(n2)', 'O(n2)', 'O(n2)']","The worst-case is when the input is sorted or sorted in reverse order, and the algorithm takes time O(n2)",0,O(n2),1,taken,shot
552,What is the expression used to denote a worst case complexity as expressed by time taken ?,What is the expression used to denote a worst case complexity as expressed by time needed ?,"For example, consider the deterministic sorting algorithm quicksort. This solves the problem of sorting a list of integers that is given as the input. The worst-case is when the input is sorted or sorted in reverse order, and the algorithm takes time O(n2) for this case. If we assume that all possible permutations of the input list are equally likely, the average time taken for sorting is O(n log n). The best case occurs when each pivoting divides the list in half, also needing O(n log n) time.","['O(n2)', 'O(n2)', 'O(n2)']","The worst-case is when the input is sorted or sorted in reverse order, and the algorithm takes time O(n2)",0,O(n2),1,taken,needed
650,How would one abbreviate T(n) = 8n2 + 16n = 40 in big O notatation ?,How would one abbreviate T(n) = 8n2 + 16n = 40 in large O notatation ?,"Upper and lower bounds are usually stated using the big O notation, which hides constant factors and smaller terms. This makes the bounds independent of the specific details of the computational model used. For instance, if T(n) = 7n2 + 15n + 40, in big O notation one would write T(n) = O(n2).",[],in big O notation one would write T(n) = O(n2).,0,,1,big,large
651,How would one abbreviate T(n) = 8n2 + 16n = 40 in big O notatation ?,How would one abbreviate T(n) = 8n2 + 16n = 40 in great O notatation ?,"Upper and lower bounds are usually stated using the big O notation, which hides constant factors and smaller terms. This makes the bounds independent of the specific details of the computational model used. For instance, if T(n) = 7n2 + 15n + 40, in big O notation one would write T(n) = O(n2).",[],in big O notation one would write T(n) = O(n2).,0,,1,big,great
653,How would one abbreviate T(n) = 8n2 + 16n = 40 in big O notatation ?,How would one abbreviate T(n) = 8n2 + 16n = 40 in giving O notatation ?,"Upper and lower bounds are usually stated using the big O notation, which hides constant factors and smaller terms. This makes the bounds independent of the specific details of the computational model used. For instance, if T(n) = 7n2 + 15n + 40, in big O notation one would write T(n) = O(n2).",[],in big O notation one would write T(n) = O(n2).,0,,1,big,giving
654,How would one abbreviate T(n) = 8n2 + 16n = 40 in big O notatation ?,How would one abbreviate T(n) = 8n2 + 16n = 40 in cock-a-hoop O notatation ?,"Upper and lower bounds are usually stated using the big O notation, which hides constant factors and smaller terms. This makes the bounds independent of the specific details of the computational model used. For instance, if T(n) = 7n2 + 15n + 40, in big O notation one would write T(n) = O(n2).",[],in big O notation one would write T(n) = O(n2).,0,,1,big,cock-a-hoop
655,How would one abbreviate T(n) = 8n2 + 16n = 40 in big O notatation ?,How would one abbreviate T(n) = 8n2 + 16n = 40 in big o notatation ?,"Upper and lower bounds are usually stated using the big O notation, which hides constant factors and smaller terms. This makes the bounds independent of the specific details of the computational model used. For instance, if T(n) = 7n2 + 15n + 40, in big O notation one would write T(n) = O(n2).",[],in big O notation one would write T(n) = O(n2).,0,,1,O,o
661,Difficulty in establishing a framework for complexity classes can be caused by what variable ?,Difficulty in instituting a framework for complexity classes can be caused by what variable ?,"Of course, some complexity classes have complicated definitions that do not fit into this framework. Thus, a typical complexity class has a definition like the following:","['complicated definitions', 'complicated definitions', 'definitions']",some complexity classes have complicated definitions,0,complicated definitions,1,establishing,instituting
663,Difficulty in establishing a framework for complexity classes can be caused by what variable ?,Difficulty in demonstrating a framework for complexity classes can be caused by what variable ?,"Of course, some complexity classes have complicated definitions that do not fit into this framework. Thus, a typical complexity class has a definition like the following:","['complicated definitions', 'complicated definitions', 'definitions']",some complexity classes have complicated definitions,0,complicated definitions,1,establishing,demonstrating
665,Difficulty in establishing a framework for complexity classes can be caused by what variable ?,Difficulty in proving a framework for complexity classes can be caused by what variable ?,"Of course, some complexity classes have complicated definitions that do not fit into this framework. Thus, a typical complexity class has a definition like the following:","['complicated definitions', 'complicated definitions', 'definitions']",some complexity classes have complicated definitions that do not fit into this framework,0,complicated definitions,1,establishing,proving
699,What are two examples of measurements are bound within algorithms to establish complexity classes ?,What are two examples of measurements are bound within algorithms to constitute complexity classes ?,Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,"['time or space', 'time or space', 'time or space']",time or space used by the algorithm,0,time or space,1,establish,constitute
700,What are two examples of measurements are bound within algorithms to establish complexity classes ?,What are two examples of measurements are bound within algorithms to establish complexity courses ?,Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,"['time or space', 'time or space', 'time or space']",bounding the time or space used by the algorithm,0,time or space,1,classes,courses
705,What function is used by algorithms to define measurements like time or space ?,What function is used by algorithms to specify measurements like time or space ?,Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,"['bounding', 'bounding', 'bounding']",bounding the time or space used by the algorithm,0,bounding,1,define,specify
706,What function is used by algorithms to define measurements like time or space ?,What function is used by algorithms to determine measurements like time or space ?,Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,"['bounding', 'bounding', 'bounding']",bounding the time or space used by the algorithm,0,bounding,1,define,determine
707,What function is used by algorithms to define measurements like time or space ?,What function is used by algorithms to delineate measurements like time or space ?,Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,"['bounding', 'bounding', 'bounding']",bounding the time or space used by the algorithm,0,bounding,1,define,delineate
708,What function is used by algorithms to define measurements like time or space ?,What function is used by algorithms to define measures like time or space ?,Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,"['bounding', 'bounding', 'bounding']",bounding the time or space used by the algorithm,0,bounding,1,measurements,measures
723,What function is used by algorithms to define measurements like time and numbers ?,What function is used by algorithms to specify measurements like time and numbers ?,Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,[],bounding the time or space,0,,1,define,specify
725,What function is used by algorithms to define measurements like time and numbers ?,What function is used by algorithms to determine measurements like time and numbers ?,Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,[],bounding the time or space,0,,1,define,determine
727,What function is used by algorithms to define measurements like time and numbers ?,What function is used by algorithms to delineate measurements like time and numbers ?,Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,[],bounding the time or space,0,,1,define,delineate
729,What function is used by algorithms to define measurements like time and numbers ?,What function is used by algorithms to define measures like time and numbers ?,Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,[],bounding the time or space,0,,1,measurements,measures
731,What is often used by algorithms to measure bounding of space and atmosphere measurements ?,What is often used by algorithms to assess bounding of space and atmosphere measurements ?,Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,[],bounding the time or space,0,,1,measure,assess
732,What is often used by algorithms to measure bounding of space and atmosphere measurements ?,What is often used by algorithms to quantify bounding of space and atmosphere measurements ?,Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,[],bounding the time or space,0,,1,measure,quantify
733,What is often used by algorithms to measure bounding of space and atmosphere measurements ?,What is often used by algorithms to evaluate bounding of space and atmosphere measurements ?,Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,[],bounding the time or space,0,,1,measure,evaluate
749,What are the other four important complexity classes ?,What are the other four crucial complexity classes ?,"Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.",[],"BQP and QMA, which are defined using quantum Turing machines.",0,,1,important,crucial
750,What are the other four important complexity classes ?,What are the other four significant complexity classes ?,"Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.",[],"AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines.",0,,1,important,significant
