context,origin,origin_ans,new,new_ans,answers,origin_result,result,origin_token,replaced_token
"Many types of Turing machines are used to define complexity classes, such as deterministic Turing machines, probabilistic Turing machines, non-deterministic Turing machines, quantum Turing machines, symmetric Turing machines and alternating Turing machines. They are all equally powerful in principle, but when resources (such as time or space) are bounded, some of these may be more powerful than others.",What are three factors that directly effect how powerful a Turing machine may or may not be ?,,What are three factors that directly effect how potent a Turing machine may or may not be ?,"when resources (such as time or space) are bounded, some of these may be more powerful than others.",[],1,0,powerful,potent
"Many machine models different from the standard multi-tape Turing machines have been proposed in the literature, for example random access machines. Perhaps surprisingly, each of these models can be converted to another without providing any extra computational power. The time and memory consumption of these alternate models may vary. What all these models have in common is that the machines operate deterministically.","What commonality do alternate machine models , such as random access machines , share with Turing machines ?",the machines operate deterministically,"What commonality do alternating machine models , such as random access machines , share with Turing machines ?",the machines operate deterministically.,"['the machines operate deterministically', 'deterministically', 'the machines operate deterministically']",1,0,alternate,alternating
"Many machine models different from the standard multi-tape Turing machines have been proposed in the literature, for example random access machines. Perhaps surprisingly, each of these models can be converted to another without providing any extra computational power. The time and memory consumption of these alternate models may vary. What all these models have in common is that the machines operate deterministically.","What commonality do alternate machine models , such as random access machines , share with Turing machines ?",the machines operate deterministically,"What commonality do alternative machine models , such as random access machines , share with Turing machines ?",the machines operate deterministically.,"['the machines operate deterministically', 'deterministically', 'the machines operate deterministically']",1,0,alternate,alternative
"However, some computational problems are easier to analyze in terms of more unusual resources. For example, a non-deterministic Turing machine is a computational model that is allowed to branch out to check many different possibilities at once. The non-deterministic Turing machine has very little to do with how we physically want to compute algorithms, but its branching exactly captures many of the mathematical models we want to analyze, so that non-deterministic time is a very important resource in analyzing computational problems.",What often affects or facilitates ease of analysis in computational problems ?,more unusual resources,What frequently affects or facilitates ease of analysis in computational problems ?,some computational problems are easier to analyze in terms of more unusual resources,"['unusual resources', 'more unusual resources', 'more unusual resources']",1,0,often,frequently
"However, some computational problems are easier to analyze in terms of more unusual resources. For example, a non-deterministic Turing machine is a computational model that is allowed to branch out to check many different possibilities at once. The non-deterministic Turing machine has very little to do with how we physically want to compute algorithms, but its branching exactly captures many of the mathematical models we want to analyze, so that non-deterministic time is a very important resource in analyzing computational problems.",What often affects or facilitates ease of analysis in computational problems ?,more unusual resources,What oftentimes affects or facilitates ease of analysis in computational problems ?,some computational problems are easier to analyze in terms of more unusual resources,"['unusual resources', 'more unusual resources', 'more unusual resources']",1,0,often,oftentimes
"However, some computational problems are easier to analyze in terms of more unusual resources. For example, a non-deterministic Turing machine is a computational model that is allowed to branch out to check many different possibilities at once. The non-deterministic Turing machine has very little to do with how we physically want to compute algorithms, but its branching exactly captures many of the mathematical models we want to analyze, so that non-deterministic time is a very important resource in analyzing computational problems.",What often affects or facilitates ease of analysis in computational problems ?,more unusual resources,What much affects or facilitates ease of analysis in computational problems ?,some computational problems are easier to analyze in terms of more unusual resources,"['unusual resources', 'more unusual resources', 'more unusual resources']",1,0,often,much
"For example, consider the deterministic sorting algorithm quicksort. This solves the problem of sorting a list of integers that is given as the input. The worst-case is when the input is sorted or sorted in reverse order, and the algorithm takes time O(n2) for this case. If we assume that all possible permutations of the input list are equally likely, the average time taken for sorting is O(n log n). The best case occurs when each pivoting divides the list in half, also needing O(n log n) time.",What is the expression used to denote a worst case complexity as expressed by time taken ?,O(n2),What is the expression used to denote a worst case complexity as stated by time taken ?,algorithm takes time O(n2),"['O(n2)', 'O(n2)', 'O(n2)']",1,0,expressed,stated
"For example, consider the deterministic sorting algorithm quicksort. This solves the problem of sorting a list of integers that is given as the input. The worst-case is when the input is sorted or sorted in reverse order, and the algorithm takes time O(n2) for this case. If we assume that all possible permutations of the input list are equally likely, the average time taken for sorting is O(n log n). The best case occurs when each pivoting divides the list in half, also needing O(n log n) time.",What is the expression used to denote a worst case complexity as expressed by time taken ?,O(n2),What is the expression used to denote a worst case complexity as expressed by time carried ?,algorithm takes time O(n2),"['O(n2)', 'O(n2)', 'O(n2)']",1,0,taken,carried
"For example, consider the deterministic sorting algorithm quicksort. This solves the problem of sorting a list of integers that is given as the input. The worst-case is when the input is sorted or sorted in reverse order, and the algorithm takes time O(n2) for this case. If we assume that all possible permutations of the input list are equally likely, the average time taken for sorting is O(n log n). The best case occurs when each pivoting divides the list in half, also needing O(n log n) time.",What is the expression used to denote a worst case complexity as expressed by time taken ?,O(n2),What is the expression used to denote a worst case complexity as expressed by time shot ?,"The worst-case is when the input is sorted or sorted in reverse order, and the algorithm takes time O(n2)","['O(n2)', 'O(n2)', 'O(n2)']",1,0,taken,shot
"For example, consider the deterministic sorting algorithm quicksort. This solves the problem of sorting a list of integers that is given as the input. The worst-case is when the input is sorted or sorted in reverse order, and the algorithm takes time O(n2) for this case. If we assume that all possible permutations of the input list are equally likely, the average time taken for sorting is O(n log n). The best case occurs when each pivoting divides the list in half, also needing O(n log n) time.",What is the expression used to denote a worst case complexity as expressed by time taken ?,O(n2),What is the expression used to denote a worst case complexity as expressed by time needed ?,"The worst-case is when the input is sorted or sorted in reverse order, and the algorithm takes time O(n2)","['O(n2)', 'O(n2)', 'O(n2)']",1,0,taken,needed
"Upper and lower bounds are usually stated using the big O notation, which hides constant factors and smaller terms. This makes the bounds independent of the specific details of the computational model used. For instance, if T(n) = 7n2 + 15n + 40, in big O notation one would write T(n) = O(n2).",How would one abbreviate T(n) = 8n2 + 16n = 40 in big O notatation ?,,How would one abbreviate T(n) = 8n2 + 16n = 40 in large O notatation ?,in big O notation one would write T(n) = O(n2).,[],1,0,big,large
"Upper and lower bounds are usually stated using the big O notation, which hides constant factors and smaller terms. This makes the bounds independent of the specific details of the computational model used. For instance, if T(n) = 7n2 + 15n + 40, in big O notation one would write T(n) = O(n2).",How would one abbreviate T(n) = 8n2 + 16n = 40 in big O notatation ?,,How would one abbreviate T(n) = 8n2 + 16n = 40 in great O notatation ?,in big O notation one would write T(n) = O(n2).,[],1,0,big,great
"Upper and lower bounds are usually stated using the big O notation, which hides constant factors and smaller terms. This makes the bounds independent of the specific details of the computational model used. For instance, if T(n) = 7n2 + 15n + 40, in big O notation one would write T(n) = O(n2).",How would one abbreviate T(n) = 8n2 + 16n = 40 in big O notatation ?,,How would one abbreviate T(n) = 8n2 + 16n = 40 in giving O notatation ?,in big O notation one would write T(n) = O(n2).,[],1,0,big,giving
"Upper and lower bounds are usually stated using the big O notation, which hides constant factors and smaller terms. This makes the bounds independent of the specific details of the computational model used. For instance, if T(n) = 7n2 + 15n + 40, in big O notation one would write T(n) = O(n2).",How would one abbreviate T(n) = 8n2 + 16n = 40 in big O notatation ?,,How would one abbreviate T(n) = 8n2 + 16n = 40 in cock-a-hoop O notatation ?,in big O notation one would write T(n) = O(n2).,[],1,0,big,cock-a-hoop
"Upper and lower bounds are usually stated using the big O notation, which hides constant factors and smaller terms. This makes the bounds independent of the specific details of the computational model used. For instance, if T(n) = 7n2 + 15n + 40, in big O notation one would write T(n) = O(n2).",How would one abbreviate T(n) = 8n2 + 16n = 40 in big O notatation ?,,How would one abbreviate T(n) = 8n2 + 16n = 40 in big o notatation ?,in big O notation one would write T(n) = O(n2).,[],1,0,O,o
"Of course, some complexity classes have complicated definitions that do not fit into this framework. Thus, a typical complexity class has a definition like the following:",Difficulty in establishing a framework for complexity classes can be caused by what variable ?,complicated definitions,Difficulty in instituting a framework for complexity classes can be caused by what variable ?,some complexity classes have complicated definitions,"['complicated definitions', 'complicated definitions', 'definitions']",1,0,establishing,instituting
"Of course, some complexity classes have complicated definitions that do not fit into this framework. Thus, a typical complexity class has a definition like the following:",Difficulty in establishing a framework for complexity classes can be caused by what variable ?,complicated definitions,Difficulty in demonstrating a framework for complexity classes can be caused by what variable ?,some complexity classes have complicated definitions,"['complicated definitions', 'complicated definitions', 'definitions']",1,0,establishing,demonstrating
"Of course, some complexity classes have complicated definitions that do not fit into this framework. Thus, a typical complexity class has a definition like the following:",Difficulty in establishing a framework for complexity classes can be caused by what variable ?,complicated definitions,Difficulty in proving a framework for complexity classes can be caused by what variable ?,some complexity classes have complicated definitions that do not fit into this framework,"['complicated definitions', 'complicated definitions', 'definitions']",1,0,establishing,proving
Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,What are two examples of measurements are bound within algorithms to establish complexity classes ?,time or space,What are two examples of measurements are bound within algorithms to constitute complexity classes ?,time or space used by the algorithm,"['time or space', 'time or space', 'time or space']",1,0,establish,constitute
Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,What are two examples of measurements are bound within algorithms to establish complexity classes ?,time or space,What are two examples of measurements are bound within algorithms to establish complexity courses ?,bounding the time or space used by the algorithm,"['time or space', 'time or space', 'time or space']",1,0,classes,courses
Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,What function is used by algorithms to define measurements like time or space ?,bounding,What function is used by algorithms to specify measurements like time or space ?,bounding the time or space used by the algorithm,"['bounding', 'bounding', 'bounding']",1,0,define,specify
Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,What function is used by algorithms to define measurements like time or space ?,bounding,What function is used by algorithms to determine measurements like time or space ?,bounding the time or space used by the algorithm,"['bounding', 'bounding', 'bounding']",1,0,define,determine
Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,What function is used by algorithms to define measurements like time or space ?,bounding,What function is used by algorithms to delineate measurements like time or space ?,bounding the time or space used by the algorithm,"['bounding', 'bounding', 'bounding']",1,0,define,delineate
Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,What function is used by algorithms to define measurements like time or space ?,bounding,What function is used by algorithms to define measures like time or space ?,bounding the time or space used by the algorithm,"['bounding', 'bounding', 'bounding']",1,0,measurements,measures
Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,What function is used by algorithms to define measurements like time and numbers ?,,What function is used by algorithms to specify measurements like time and numbers ?,bounding the time or space,[],1,0,define,specify
Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,What function is used by algorithms to define measurements like time and numbers ?,,What function is used by algorithms to determine measurements like time and numbers ?,bounding the time or space,[],1,0,define,determine
Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,What function is used by algorithms to define measurements like time and numbers ?,,What function is used by algorithms to delineate measurements like time and numbers ?,bounding the time or space,[],1,0,define,delineate
Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,What function is used by algorithms to define measurements like time and numbers ?,,What function is used by algorithms to define measures like time and numbers ?,bounding the time or space,[],1,0,measurements,measures
Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,What is often used by algorithms to measure bounding of space and atmosphere measurements ?,,What is often used by algorithms to assess bounding of space and atmosphere measurements ?,bounding the time or space,[],1,0,measure,assess
Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,What is often used by algorithms to measure bounding of space and atmosphere measurements ?,,What is often used by algorithms to quantify bounding of space and atmosphere measurements ?,bounding the time or space,[],1,0,measure,quantify
Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,What is often used by algorithms to measure bounding of space and atmosphere measurements ?,,What is often used by algorithms to evaluate bounding of space and atmosphere measurements ?,bounding the time or space,[],1,0,measure,evaluate
"Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.",What are the other four important complexity classes ?,,What are the other four crucial complexity classes ?,"BQP and QMA, which are defined using quantum Turing machines.",[],1,0,important,crucial
"Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.",What are the other four important complexity classes ?,,What are the other four significant complexity classes ?,"AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines.",[],1,0,important,significant
