context,origin,origin_ans,new,new_ans,answers,origin_result,result,coordination,causality,hypothesis,ref
"With modern insights into quantum mechanics and technology that can accelerate particles close to the speed of light, particle physics has devised a Standard Model to describe forces between particles smaller than atoms. The Standard Model predicts that exchanged particles called gauge bosons are the fundamental means by which forces are emitted and absorbed. Only four main interactions are known: in order of decreasing strength, they are: strong, electromagnetic, weak, and gravitational.:2–10:79 High-energy particle physics observations made during the 1970s and 1980s confirmed that the weak and electromagnetic forces are expressions of a more fundamental electroweak interaction.",What are weak and electromatic forces expressions of ?,The weak and electromagnetic forces are expressions of a more fundamental electroweak interaction.,What are feeble and electromatic forces expressions ?,"It appears there is a typo in your question. If you meant to ask about the weak and electromagnetic forces, their expressions are the more fundamental electroweak interaction.","['electroweak interaction', 'a more fundamental electroweak interaction', 'more fundamental electroweak interaction.', 'a more fundamental electroweak interaction', 'fundamental electroweak interaction.']",1,0,1,0,0,
"Southern California is also home to a large home grown surf and skateboard culture. Companies such as Volcom, Quiksilver, No Fear, RVCA, and Body Glove are all headquartered here. Professional skateboarder Tony Hawk, professional surfers Rob Machado, Tim Curran, Bobby Martinez, Pat O'Connell, Dane Reynolds, and Chris Ward, and professional snowboarder Shaun White live in southern California. Some of the world's legendary surf spots are in southern California as well, including Trestles, Rincon, The Wedge, Huntington Beach, and Malibu, and it is second only to the island of Oahu in terms of famous surf breaks. Some of the world's biggest extreme sports events, including the X Games, Boost Mobile Pro, and the U.S. Open of Surfing are all in southern California. Southern California is also important to the world of yachting. The annual Transpacific Yacht Race, or Transpac, from Los Angeles to Hawaii, is one of yachting's premier events. The San Diego Yacht Club held the America's Cup, the most prestigious prize in yachting, from 1988 to 1995 and hosted three America's Cup races during that time.",What is the shortened name of the annual yacht race that takes place ?,The shortened name of the annual yacht race is Transpac.,What is the shortened name of the annual yacht race that brings place ?,There is no specific mention of a shortened name for the annual yacht race in the given text.,"['Transpac', 'Transpac', 'Transpac']",1,0,0,0,0,
"Southern California consists of a heavily developed urban environment, home to some of the largest urban areas in the state, along with vast areas that have been left undeveloped. It is the third most populated megalopolis in the United States, after the Great Lakes Megalopolis and the Northeastern megalopolis. Much of southern California is famous for its large, spread-out, suburban communities and use of automobiles and highways. The dominant areas are Los Angeles, Orange County, San Diego, and Riverside-San Bernardino, each of which is the center of its respective metropolitan area, composed of numerous smaller cities and communities. The urban area is also host to an international metropolitan region in the form of San Diego–Tijuana, created by the urban area spilling over into Baja California.",What are the second and third most populated megalopolis after Southern California ?,No answer.,What are the 2nd and third most populated megalopolis after Southern California ?,The Great Lakes Megalopolis is the second most populated megalopolis after Southern California. The third most populated megalopolis is the Northeastern megalopolis.,[],1,0,1,0,1,
"Johnson's expedition was better organized than Shirley's, which was noticed by New France's governor, the Marquis de Vaudreuil. He had primarily been concerned about the extended supply line to the forts on the Ohio, and had sent Baron Dieskau to lead the defenses at Frontenac against Shirley's expected attack. When Johnson was seen as the larger threat, Vaudreuil sent Dieskau to Fort St. Frédéric to meet that threat. Dieskau planned to attack the British encampment at Fort Edward at the upper end of navigation on the Hudson River, but Johnson had strongly fortified it, and Dieskau's Indian support was reluctant to attack. The two forces finally met in the bloody Battle of Lake George between Fort Edward and Fort William Henry. The battle ended inconclusively, with both sides withdrawing from the field. Johnson's advance stopped at Fort William Henry, and the French withdrew to Ticonderoga Point, where they began the construction of Fort Carillon (later renamed Fort Ticonderoga after British capture in 1759).",How did Vaudreuil react when Johnson was seen as larger threat ?,Vaudreuil sent Dieskau to Fort St. Frédéric to meet that threat.,How did Vaudreuil react when Johnson was looked as larger threat ?,Vaudreuil sent Dieskau to Fort St. Frédéric to meet the threat.,"['sent Dieskau to Fort St. Frédéric to meet that threat', 'sent Dieskau to Fort St. Frédéric', 'sent Dieskau to Fort St. Frédéric', 'sent Dieskau to Fort St. Frédéric', 'sent Dieskau to Fort St. Frédéric']",1,0,0,0,1,
"""Although it is generally accepted that EU law has primacy, not all EU laws give citizens standing to bring claims: that is, not all EU laws have """"direct effect"""". In Van Gend en Loos v Nederlandse Administratie der Belastingen it was held that the provisions of the Treaties (and EU Regulations) are directly effective, if they are (1) clear and unambiguous (2) unconditional, and (3) did not require EU or national authorities to take further action to implement them. Van Gend en Loos, a postal company, claimed that what is now TFEU article 30 prevented the Dutch Customs Authorities charging tariffs, when it imported urea-formaldehyde plastics from Germany to the Netherlands. After a Dutch court made a reference, the Court of Justice held that even though the Treaties did not """"expressly"""" confer a right on citizens or companies to bring claims, they could do so. Historically, international treaties had only allowed states to have legal claims for their enforcement, but the Court of Justice proclaimed """"the Community constitutes a new legal order of international law"""". Because article 30 clearly, unconditionally and immediately stated that no quantitative restrictions could be placed on trade, without a good justification, Van Gend en Loos could recover the money it paid for the tariff. EU Regulations are the same as Treaty provisions in this sense, because as TFEU article 288 states, they are ‘directly applicable in all Member States’. Moreover, member states comes under a duty not to replicate Regulations in their own law, in order to prevent confusion. For instance, in Commission v Italy the Court of Justice held that Italy had breached a duty under the Treaties, both by failing to operate a scheme to pay farmers a premium to slaughter cows (to reduce dairy overproduction), and by reproducing the rules in a decree with various additions. """"Regulations,"""" held the Court of Justice, """"come into force solely by virtue of their publication"""" and implementation could have the effect of """"jeopardizing their simultaneous and uniform application in the whole of the Union."""" On the other hand, some Regulations may themselves expressly require implementing measures, in which case those specific rules should be followed.""","In which case was it held that the provisions of the treaties are directly effective if they are clear , unconditional , and do n't require further action by EU or national authorities ?",It was held in the case of Van Gend en Loos v Nederlandse Administratie der Belastingen.,"In which case was it held that the provisions of the treaties are directly effective if they are clean-cut , unconditional , and don't necessitate further action by EU or national authorities ?","There is no mention of the provisions of the treaties being ""clean-cut"" in the text. The correct criteria for provisions to be directly effective are that they are clear and unambiguous, unconditional, and do not require further action by EU or national authorities. This was held in the case of Van Gend en Loos v Nederlandse Administratie der Belastingen.","['Van Gend en Loos v Nederlandse Administratie der Belastingen', 'Van Gend en Loos v Nederlandse Administratie der Belastingen', 'Van Gend en Loos v Nederlandse Administratie der Belastingen']",1,0,1,0,1,
"Much of the work of the Scottish Parliament is done in committee. The role of committees is stronger in the Scottish Parliament than in other parliamentary systems, partly as a means of strengthening the role of backbenchers in their scrutiny of the government and partly to compensate for the fact that there is no revising chamber. The principal role of committees in the Scottish Parliament is to take evidence from witnesses, conduct inquiries and scrutinise legislation. Committee meetings take place on Tuesday, Wednesday and Thursday morning when Parliament is sitting. Committees can also meet at other locations throughout Scotland.",Very little of the work done by Scottish Parliament is done where ?,No Answer.,Very little of the work is done where ?,Very little of the work done by the Scottish Parliament is done in committee.,[],1,0,0,0,0,
"""As well as creating rights for """"workers"""" who generally lack bargaining power in the market, the Treaty on the Functioning of the European Union also protects the """"freedom of establishment"""" in article 49, and """"freedom to provide services"""" in article 56. In Gebhard v Consiglio dell’Ordine degli Avvocati e Procuratori di Milano the Court of Justice held that to be """"established"""" means to participate in economic life """"on a stable and continuous basis"""", while providing """"services"""" meant pursuing activity more """"on a temporary basis"""". This meant that a lawyer from Stuttgart, who had set up chambers in Milan and was censured by the Milan Bar Council for not having registered, was entitled to bring a claim under for establishment freedom, rather than service freedom. However, the requirements to be registered in Milan before being able to practice would be allowed if they were non-discriminatory, """"justified by imperative requirements in the general interest"""" and proportionately applied. All people or entities that engage in economic activity, particularly the self-employed, or """"undertakings"""" such as companies or firms, have a right to set up an enterprise without unjustified restrictions. The Court of Justice has held that both a member state government and a private party can hinder freedom of establishment, so article 49 has both """"vertical"""" and """"horizontal"""" direct effect. In Reyners v Belgium the Court of Justice held that a refusal to admit a lawyer to the Belgian bar because he lacked Belgian nationality was unjustified. TFEU article 49 says states are exempt from infringing others' freedom of establishment when they exercise """"official authority"""", but this did an advocate's work (as opposed to a court's) was not official. By contrast in Commission v Italy the Court of Justice held that a requirement for lawyers in Italy to comply with maximum tariffs unless there was an agreement with a client was not a restriction. The Grand Chamber of the Court of Justice held the Commission had not proven that this had any object or effect of limiting practitioners from entering the market. Therefore, there was no prima facie infringement freedom of establishment that needed to be justified.""",In which case did the Court of Justice state that refusal to admit a lawyer to the Belgian bar because he did not have Belgian heritage was n't able to be justified ?,The Court of Justice stated in the case of Reyners v Belgium that the refusal to admit a lawyer to the Belgian bar because he lacked Belgian nationality was unjustified.,In which instance did the Court of Justice state that refusal to acknowledge a lawyer to the Belgian BAR wasn't able to be justified ?,"In the case of Reyners v Belgium, the Court of Justice stated that the refusal to admit a lawyer to the Belgian bar because he lacked Belgian nationality was unjustified.","['Reyners v Belgium', 'Reyners v Belgium the Court of Justice', 'Reyners v Belgium']",1,0,0,0,1,
"Harvard's 2,400 professors, lecturers, and instructors instruct 7,200 undergraduates and 14,000 graduate students. The school color is crimson, which is also the name of the Harvard sports teams and the daily newspaper, The Harvard Crimson. The color was unofficially adopted (in preference to magenta) by an 1875 vote of the student body, although the association with some form of red can be traced back to 1858, when Charles William Eliot, a young graduate student who would later become Harvard's 21st and longest-serving president (1869–1909), bought red bandanas for his crew so they could more easily be distinguished by spectators at a regatta.",When was the color crimson adopted at Harvard as official color ?,The color crimson was unofficially adopted at Harvard in 1875.,When was the color crimson adopted at Harvard as official colour ?,No answer.,"['1875', '1875', '1875']",1,0,0,0,0,
"The owner produces a list of requirements for a project, giving an overall view of the project's goals. Several D&B contractors present different ideas about how to accomplish these goals. The owner selects the ideas he or she likes best and hires the appropriate contractor. Often, it is not just one contractor, but a consortium of several contractors working together. Once these have been hired, they begin building the first phase of the project. As they build phase 1, they design phase 2. This is in contrast to a design-bid-build contract, where the project is completely designed by the owner, then bid on, then completed.",Who selects and hires the best ideas and appropriate contractors ?,The owner selects and hires the best ideas and appropriate contractors.,Who selects and hires the well ideas and contractors ?,The owner selects and hires the well ideas and contractors.,"['The owner', 'The owner', 'The owner']",1,0,1,0,0,
"""Originating as the Jama'at al-Tawhid wal-Jihad in 1999, it pledged allegiance to al-Qaeda in 2004, participated in the Iraqi insurgency that followed the March 2003 invasion of Iraq by Western forces, joined the fight in the Syrian Civil War beginning in March 2011, and was expelled from al-Qaeda in early 2014, (which complained of its failure to consult and """"notorious intransigence""""). The group gained prominence after it drove Iraqi government forces out of key cities in western Iraq in a 2014 offensive. The group is adept at social media, posting Internet videos of beheadings of soldiers, civilians, journalists and aid workers, and is known for its destruction of cultural heritage sites. The United Nations has held ISIL responsible for human rights abuses and war crimes, and Amnesty International has reported ethnic cleansing by the group on a """"historic scale"""". The group has been designated a terrorist organisation by the United Nations, the European Union and member states, the United States, India, Indonesia, Turkey, Saudi Arabia, Syria and other countries.""",What has the United Nations not claimed ISIL to be ?,No answer.,What has the United Nations not claimed ISIL to be ?,The United Nations has not claimed ISIL to be a legitimate or lawful entity.,[],1,0,0,0,0,
"The common allotrope of elemental oxygen on Earth is called dioxygen, O\n2. It is the form that is a major part of the Earth's atmosphere (see Occurrence). O2 has a bond length of 121 pm and a bond energy of 498 kJ·mol−1, which is smaller than the energy of other double bonds or pairs of single bonds in the biosphere and responsible for the exothermic reaction of O2 with any organic molecule. Due to its energy content, O2 is used by complex forms of life, such as animals, in cellular respiration (see Biological role). Other aspects of O\n2 are covered in the remainder of this article.",What characteristic of oxygen makes it necessary to life ?,The energy content of oxygen makes it necessary for life.,What characteristic of oxygen makes it necessary to spirit ?,There is no answer in the text to suggest any particular characteristic of oxygen that makes it necessary for spirits.,"['energy content', 'its energy content', 'energy content', 'energy content', 'its energy content']",1,0,0,0,0,
"""Where CHP is not used, steam turbines in power stations use surface condensers as a cold sink. The condensers are cooled by water flow from oceans, rivers, lakes, and often by cooling towers which evaporate water to provide cooling energy removal. The resulting condensed hot water output from the condenser is then put back into the boiler via a pump. A dry type cooling tower is similar to an automobile radiator and is used in locations where water is costly. Evaporative (wet) cooling towers use the rejected heat to evaporate water; this water is kept separate from the condensate, which circulates in a closed system and returns to the boiler. Such towers often have visible plumes due to the evaporated water condensing into droplets carried up by the warm air. Evaporative cooling towers need less water flow than """"once-through"""" cooling by river or lake water; a 700 megawatt coal-fired power plant may use about 3600 cubic metres of make-up water every hour for evaporative cooling, but would need about twenty times as much if cooled by river water.[citation needed]""",In what sort of places are dry cooling towers used ?,Dry cooling towers are used in locations where water is costly.,In what sort of places are dry cooling towers ?,"Dry cooling towers are used in locations where water is costly, such as arid regions or areas with limited water availability.","['where water is costly', 'where water is costly', 'locations where water is costly']",1,0,0,0,0,
"""The first item of business on Wednesdays is usually Time for Reflection, at which a speaker addresses members for up to four minutes, sharing a perspective on issues of faith. This contrasts with the formal style of """"Prayers"""", which is the first item of business in meetings of the House of Commons. Speakers are drawn from across Scotland and are chosen to represent the balance of religious beliefs according to the Scottish census. Invitations to address Parliament in this manner are determined by the Presiding Officer on the advice of the parliamentary bureau. Faith groups can make direct representations to the Presiding Officer to nominate speakers.""",What day of the week does the Time for Reflection take place ?,The Time for Reflection takes place on Wednesdays.,What day of the week does the Time take place ?,The Time for Reflection takes place on Wednesdays.,"['Wednesdays', 'Wednesdays', 'Wednesdays']",1,0,0,0,0,
"The dominant economic sectors in the Middle Rhine area are viniculture and tourism. The Rhine Gorge between Rüdesheim am Rhein and Koblenz is listed as a UNESCO World Heritage Site. Near Sankt Goarshausen, the Rhine flows around the famous rock Lorelei. With its outstanding architectural monuments, the slopes full of vines, settlements crowded on the narrow river banks and scores of castles lined up along the top of the steep slopes, the Middle Rhine Valley can be considered the epitome of the Rhine romanticism.",Where is the famous rock the Rhine flows around ?,The famous rock the Rhine flows around is near Sankt Goarshausen.,Where is the famed rock the Rhine flows ?,The famed rock the Rhine flows around is near Sankt Goarshausen.,"['Sankt Goarshausen', 'Near Sankt Goarshausen', 'Lorelei']",1,0,0,0,0,
"Following the Peterloo massacre of 1819, poet Percy Shelley wrote the political poem The Mask of Anarchy later that year, that begins with the images of what he thought to be the unjust forms of authority of his time—and then imagines the stirrings of a new form of social action. It is perhaps the first modern[vague] statement of the principle of nonviolent protest. A version was taken up by the author Henry David Thoreau in his essay Civil Disobedience, and later by Gandhi in his doctrine of Satyagraha. Gandhi's Satyagraha was partially influenced and inspired by Shelley's nonviolence in protest and political action. In particular, it is known that Gandhi would often quote Shelley's Masque of Anarchy to vast audiences during the campaign for a free India.",Which famous Indian practiced civil disobedience ?,Gandhi.,Which notable Indian practiced disobedience ?,Gandhi.,"['Gandhi', 'Gandhi', 'Gandhi', 'Gandhi', 'Gandhi']",1,0,0,0,0,
"""The definition of imperialism has not been finalized for centuries and was confusedly seen to represent the policies of major powers, or simply, general-purpose aggressiveness. Further on, some writers[who?] used the term imperialism, in slightly more discriminating fashion, to mean all kinds of domination or control by a group of people over another. To clear out this confusion about the definition of imperialism one could speak of """"formal"""" and """"informal"""" imperialism, the first meaning physical control or """"full-fledged colonial rule"""" while the second implied less direct rule though still containing perceivable kinds of dominance. Informal rule is generally less costly than taking over territories formally. This is because, with informal rule, the control is spread more subtly through technological superiority, enforcing land officials into large debts that cannot be repaid, ownership of private industries thus expanding the controlled area, or having countries agree to uneven trade agreements forcefully.""",Nobody has generalized the meaning of the word imperialism down to general-purpose what ?,No answer.,Nobody has generalized the meaning of the word imperialism down to general-purpose what ?,Aggressiveness.,[],1,0,0,0,0,
"Stadtholder William III of Orange, who later became King of England, emerged as the strongest opponent of king Louis XIV after the French attacked the Dutch Republic in 1672. William formed the League of Augsburg as a coalition to oppose Louis and the French state. Consequently, many Huguenots considered the wealthy and Calvinist Dutch Republic, which led the opposition to Louis XIV, as the most attractive country for exile after the revocation of the Edict of Nantes. They also found many French-speaking Calvinist churches there.",With what European country did the Huguenots feel kinship for emigration to ?,The Huguenots felt kinship for emigration to the Dutch Republic.,With what European nation did the Huguenots feel kinship ?,The Huguenots felt kinship for emigration to the Dutch Republic in Europe.,"['Dutch Republic', 'Dutch Republic', 'Dutch Republic']",1,0,0,0,0,
"A Turing machine is a mathematical model of a general computing machine. It is a theoretical device that manipulates symbols contained on a strip of tape. Turing machines are not intended as a practical computing technology, but rather as a thought experiment representing a computing machine—anything from an advanced supercomputer to a mathematician with a pencil and paper. It is believed that if a problem can be solved by an algorithm, there exists a Turing machine that solves the problem. Indeed, this is the statement of the Church–Turing thesis. Furthermore, it is known that everything that can be computed on other models of computation known to us today, such as a RAM machine, Conway's Game of Life, cellular automata or any programming language can be computed on a Turing machine. Since Turing machines are easy to analyze mathematically, and are believed to be as powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory.",What is the most commonplace model utilized in complexity theory ?,The most commonly used model in complexity theory is the Turing machine.,What is the most banal model utilized in complexity theory ?,No answer.,"['the Turing machine', 'the Turing machine', 'Turing machine']",1,0,0,0,0,
"""The reason for the majority rule is the high risk of a conflict of interest and/or the avoidance of absolute powers. Otherwise, the physician has a financial self-interest in """"diagnosing"""" as many conditions as possible, and in exaggerating their seriousness, because he or she can then sell more medications to the patient. Such self-interest directly conflicts with the patient's interest in obtaining cost-effective medication and avoiding the unnecessary use of medication that may have side-effects. This system reflects much similarity to the checks and balances system of the U.S. and many other governments.[citation needed]""",What do rules about conflict of interest involving doctors diagnosing patients resemble ?,Rules about conflict of interest involving doctors diagnosing patients resemble the checks and balances system of the U.S. and many other governments.,What do rules about dispute of interest involving doctors diagnosing patients resemble ?,There is no answer provided in the given text regarding the resemblance of rules about dispute of interest involving doctors diagnosing patients.,"['the checks and balances system of the U.S. and many other governments.', 'checks and balances system of the U.S. and many other governments', 'similarity to the checks and balances system of the U.S. and many other governments']",1,0,0,0,0,
"""Federal safety standards, such as NHTSA Federal Motor Vehicle Safety Standard 215 (pertaining to safety bumpers), and compacts like the 1974 Mustang I were a prelude to the DOT """"downsize"""" revision of vehicle categories. By 1977, GM's full-sized cars reflected the crisis. By 1979, virtually all """"full-size"""" American cars had shrunk, featuring smaller engines and smaller outside dimensions. Chrysler ended production of their full-sized luxury sedans at the end of the 1981 model year, moving instead to a full front-wheel drive lineup for 1982 (except for the M-body Dodge Diplomat/Plymouth Gran Fury and Chrysler New Yorker Fifth Avenue sedans).""",What are two changes to GM vehicles that were implemented in 1982 ?,No Answer,What are two changes to GM vehicles that were enforced in 1982 ?,Two changes that were enforced for GM vehicles in 1982 were the transition to a full front-wheel drive lineup and the discontinuation of production for their full-sized luxury sedans.,[],1,0,0,0,0,
"Breathing pure O\n2 in space applications, such as in some modern space suits, or in early spacecraft such as Apollo, causes no damage due to the low total pressures used. In the case of spacesuits, the O\n2 partial pressure in the breathing gas is, in general, about 30 kPa (1.4 times normal), and the resulting O\n2 partial pressure in the astronaut's arterial blood is only marginally more than normal sea-level O\n2 partial pressure (for more information on this, see space suit and arterial blood gas).",Why was no damage caused by breathing pure O in space applications ?,No Answer.,Why was no damage caused by breathing pure o in space applications ?,"No damage was caused by breathing pure oxygen in space applications because the low total pressures used were not harmful. The O2 partial pressure in the breathing gas was around 30 kPa, only slightly higher than normal sea-level O2 partial pressure. This level of oxygen was safe for astronauts in spacesuits and early spacecraft like Apollo.",[],1,0,0,0,0,
"Unlike animals, plants lack phagocytic cells, but many plant immune responses involve systemic chemical signals that are sent through a plant. Individual plant cells respond to molecules associated with pathogens known as Pathogen-associated molecular patterns or PAMPs. When a part of a plant becomes infected, the plant produces a localized hypersensitive response, whereby cells at the site of infection undergo rapid apoptosis to prevent the spread of the disease to other parts of the plant. Systemic acquired resistance (SAR) is a type of defensive response used by plants that renders the entire plant resistant to a particular infectious agent. RNA silencing mechanisms are particularly important in this systemic response as they can block virus replication.",What is a kind of defense response that makes the entire plant resistant to a particular agent ?,Systemic acquired resistance (SAR).,What is a kind of defense response that makes the entire plant repellent to a particular broker ?,No Answer.,"['Systemic acquired resistance (SAR)', 'Systemic acquired resistance', 'Systemic acquired resistance (SAR)']",1,0,0,0,0,
