q1,q2,ori, gpt,CARDINAL,CARDINAL_text,DATE,DATE_text,EVENT,EVENT_text,FAC,FAC_text,GPE,GPE_text,LANGUAGE,LANGUAGE_text,LAW,LAW_text,LOC,LOC_text,MONEY,MONEY_text,NORP,NORP_text,ORDINAL,ORDINAL_text,ORG,ORG_text,PERCENT,PERCENT_text,PERSON,PERSON_text,PRODUCT,PRODUCT_text,QUANTITY,QUANTITY_text,TIME,TIME_text,WORK_OF_ART,WORK_OF_ART_text
what e-commerce jobs can I do ? ,"If I can't have a physical job for 12 months , what e-commerce jobs can I do ?",0,N,0,,1,12 months,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Is Google Chrome OS programmed using Go ? ,"Is Google Chrome OS programmed using Go , or C++ ?",0,N,0,,0,,0,,0,,0,,0,,1,C++,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
How's the work life ? ,How's the work life at Quora ?,0,N,0,,0,,0,,0,,1,Quora,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"What is the weather in Orlando like on June , and how does it come from the weather ? ","What is the weather in Orlando like on June , and how does it come from the weather in January ?",0,N,0,,1,January,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
How will the decision to accept the 500 and 1000 Rs notes help to get rid of black money in the Swiss system ? ,How will the decision to accept the 500 and 1000 Rs notes help to get rid of black money in the Swiss system or maybe in other swiss banks and currencies ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,swiss,0,,0,,0,,0,,0,,0,,0,,0,
"What are the main imports and exports of Venezuela , and how does Venezuela's industry function ? ","What are the main imports and exports of Venezuela , and how does Venezuel's industry function to Belize 's ?",0,N,0,,0,,0,,0,,1,Belize,0,,0,,0,,0,,0,,0,,1,Venezuel,0,,0,,0,,0,,0,,0,
""""""" A woman who wants to marry me ?"" ",""""""" A woman who wants to marry me """" in simplified Chinese ?""",0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Chinese,0,,0,,0,,0,,0,,0,,0,,0,
As an ep what are 2 things ? ,As an ep what are 2 things you need to have on your resume 8 years ?,0,N,0,,1,8 years,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What were the possible effects of the cambodia earthquake ? ,"What were the possible effects of the cambodia earthquake , and how do these effects relate to the Lima-Callao earthquake ?",0,N,0,,0,,0,,0,,1,Lima,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
they fight ? ,When Japan got hit with the nuclear bomb they fight ?,0,N,0,,0,,0,,0,,1,Japan,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Why is Pistola considered one of the greatest Halo players of all time when he only made a top team during H3 ? ,Why is Pistola considered one of the greatest Halo players of all time when he only made a top team during H3 in 2008 ?,0,N,0,,1,2008,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What's it like to have parents ? ,What's it like to have parents who both attend Harvard ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Harvard,0,,0,,0,,0,,0,,0,
How will my girls aged 10 and 12 get affected if I move from a middle east country with my family ? ,How will my girls aged 10 and 12 get affected if I move from a middle east country with my family to a European country ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,European,0,,0,,0,,0,,0,,0,,0,,0,
Do students apply to PhD programs and get rejection letters at later dates ? ,Do students apply to PhD programs and get rejection letters at later dates if the school announces that they're also applying for NSF Fellowships ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,NSF Fellowships,0,,0,,0,,0,,0,,0,
Pdf of nda routine of cadet ? ,Pdf of nda routine of cadet in daily routine ?,0,N,0,,1,daily,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
How the black money be recovered by simultaneously demonetising 500 ? ,"How the black money be recovered by simultaneously demonetising 500 , 1000 notes and producing 500 , 2000 notes ?",0,N,2,"1,000,500",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Can you shoot a Dangerous Human to death ? ,Can you shoot a Dangerous Human to death with only one 50AE Desert eagle left ?,0,N,1,only one,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Desert,0,,0,,0,,0,,0,,0,
"What is the ethnic background of Chinese workers on Australian gold mines , and how does gold make the compare to the production ? ","What is the ethnic background of Chinese workers on Australian gold mines , and how does gold make the compare to the production in Brazil ?",0,N,0,,0,,0,,0,,1,Brazil,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"When you are speaking English as your first language , do you think in your first language ? ","When you are speaking English as your first language , do you think in your first language and then speak in the second one or two ?",0,N,2,"one,two",0,,0,,0,,0,,0,,0,,0,,0,,0,,1,second,0,,0,,0,,0,,0,,0,,0,
"How does cabin pressure in a plane change with speed before it reaches 10,000 ft ? ","How does cabin pressure in a plane change with speed before it reaches 10,000 ft ( is the plane up to 4000 feet at 4000 feet ASL ) ?",0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,"up to,4000 feet,4000 feet ASL",0,,0,
Which is the marketshare of Intel microprocessors in china ? ,"Which is the marketshare of Intel microprocessors in china , china ?",0,N,0,,0,,0,,0,,1,china,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Where can I find some good research papers ( or access to some work ) done on complexity analysis of the board game ? ,"""Where can I find some good research papers ( or access to some work ) done on complexity analysis of the board game """" Unblock Me ?""",0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Unblock Me
How much are the possibility of war between Pakistan and India ? ,How much are the possibility of war between Pakistan and India looking at recent levels of tension between the two countries ?,0,N,1,two,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What do you think of a Chinese advertising for a new city ? ,What do you think of a Chinese advertising for a new city when the Chinese women's basketball team won the game in 2016 the Olympic Games ?,0,N,0,,1,2016,1,the Olympic Games,0,,0,,0,,0,,0,,0,,1,Chinese,0,,0,,0,,0,,0,,0,,0,,0,
What are the gifts for a foreign visitor to bring when they're invited to someone's home in Barbados ? ,What are the gifts for a foreign visitor to bring when they're invited to someone's home in Barbados for the first time ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,first,0,,0,,0,,0,,0,,0,,0,
What are the most common traffic convictions in Arkansas ? ,"What are the most common traffic convictions in Arkansas , and how does the severity of the convictions vary in Georgia ?",0,N,0,,0,,0,,0,,1,Georgia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Is the rental of Rs 99 cut every month from your cell phone while on international business ? ,Is the rental of Rs 99 cut every month from your cell phone while on international business in the US ?,0,N,0,,0,,0,,0,,1,US,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What is the fastest way to travel from Delhi international airport after retiring from international flight and with 2 bags of 23 kg each ? ,"What is the fastest way to travel from Delhi international airport after retiring from international flight and with 2 bags of 23 kg each , to Jaipur ?",0,N,0,,0,,0,,0,,1,Jaipur,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Where can I found the flavours for cupcakes ? ,Where can I found the flavours for cupcakes at Gold Coast ?,0,N,0,,0,,0,,0,,0,,0,,0,,1,Gold Coast,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What would you do when your ex boss threatens you that he will contact your new boss if you did not speak to him ? ,What would you do when your ex boss threatens you that he will contact your new boss if you did not speak to him for the first over ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,first,0,,0,,0,,0,,0,,0,,0,
What are the things ? ,What are the things that rest of the world should know from India ?,0,N,0,,0,,0,,0,,1,India,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Why did Philippine ask Private Temporary Arbitration in Hague , not the UN backed arbitration to settle the water territory disputes with China ? ","Why did Philippine ask Private Temporary Arbitration in Hague , not the UN backed arbitration to settle the water territory disputes with China over SCS ?",0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,SCS,0,,0,,0,,0,,0,,0,
Why did China's CCTV disparage SpaceX during recent Chinese space launch coverage ? ,"Why did Chin's CCTV disparage SpaceX during recent Chinese space launch coverage , by claiming Musk 's Mars aspirations were an american pipe dream ?",0,N,0,,0,,0,,0,,0,,0,,0,,1,Mars,0,,2,"Chinese,american",0,,2,"CCTV,SpaceX",0,,2,"Chin,Musk",0,,0,,0,,0,
Which are some of the best academies ? ,Which are some of the best academies in Mumbai ?,0,N,0,,0,,0,,0,,1,Mumbai,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What is Hawala money ? ,What is Hawala money and why is it made in India ?,0,N,0,,0,,0,,0,,1,India,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"If the car in front of you stops after the stop line and you stop at the stop line , do you legally have to stop a time ? ","If the car in front of you stops after the stop line and you stop at the stop line , do you legally have to stop a third time ?",0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,third,0,,0,,0,,0,,0,,0,,0,
"In the least inelastic demand , why is the quantity demanded not changing ? ","In the least inelastic demand , when the quantity becomes zero , why is the quantity demanded not changing ?",0,N,1,zero,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"What is the Sahara , and how do the average temperatures there compare to the ones ? ","What is the Sahara , and how do the average temperatures there compare to the ones in the Mojave Desert ?",0,N,0,,0,,0,,0,,0,,0,,0,,1,the Mojave Desert,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Colds and the Common Cold : Why do I get symptoms of an upper respiratory infection ? ,Colds and the Common Cold : Why do I get symptoms of an upper respiratory infection after taking my first sip from a cold bottle of water ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,first,0,,0,,0,,0,,0,,0,,0,
Is there an Android app that can be used to set the price of an Android ? ,Is there an Android app that can be used to set the price of an Android set - box remote control to the functions of a second Android app ?,0,N,0,,0,,0,,0,,0,,0,,0,,1,Android,0,,0,,1,second,0,,0,,0,,0,,0,,0,,0,
Should I buy a MacBook pro ? ,Should I buy a MacBook pro or wait for 2016 release ?,0,N,0,,1,2016,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
How can I invest 1 year so that I can join a top tier university in US for college ? ,How can I invest 1 year so that I can join a top tier university in US for college in the Engieering ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Engieering,0,,0,,0,,0,
"What is the difference , Data Analysis ? ","What is the difference between Data Analytics , Data Analysis ?",0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Data Analytics,0,,0,,0,,0,,0,,0,
Construction : What ? ,Construction : What if I take opc 53 % cement & mix fly ash upto 15 % separately in making concrete on site ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,"opc 53 %,15 %",0,,0,,0,,0,,0,
What do you think of a Chinese advertising for a Chinese restaurant ? ,What do you think of a Chinese advertising for a Chinese restaurant when the Chinese women's basketball team won the game in 2016 the Olympic Games ?,0,N,0,,1,2016,1,the Olympic Games,0,,0,,0,,0,,0,,0,,1,Chinese,0,,0,,0,,0,,0,,0,,0,,0,
"If you were granted just one wish , what would you wish for ? ","If you were granted just one wish for 2017 , what would you wish for ?",0,N,0,,1,2017,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Why are Black pride ? ,"Why are Black pride , gay pride and Asian pride all related positively ?",0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Asian,0,,0,,0,,0,,0,,0,,0,,0,
Why didn't the democrats run Bernie Sanders ? ,Why didn't the democrats run Bernie Sanders who would have probably beaten Trump rather than Hillary Clinton ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,"Trump,Hillary Clinton",0,,0,,0,,0,
"What was life like in Rome after the collapse of the Western empire in 476 , during the Ostrogothic wars , when the Byzantines conquered the city in the mid sixth century ? ","What was life like in Rome after the collapse of the Western empire in 476 , during the Ostrogothic wars , when the Byzantines conquered the city in the mid sixth century , and when the Franks moved in after that ?",0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Franks,0,,0,,0,,0,
Do I need to have a Gmail account to use WhatsApp ? ,Do I need to have a Gmail account to use WhatsApp on a Microsoft phone ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Microsoft,0,,0,,0,,0,,0,,0,
Where can a PS3 jailbreak be done ? ,Where in Delhi can a PS3 jailbreak be done ?,0,N,0,,0,,0,,0,,1,Delhi,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What is the only evidence that proves beyond reasonable doubt ? ,What is the only evidence that proves beyond reasonable doubt that the Holocaust existed ?,0,N,0,,0,,1,Holocaust,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What are the gifts for a foreign visitor to bring when they're invited to someone's wedding ? ,What are the gifts for a foreign visitor to bring when they're invited to someone's wedding in Singapore ?,0,N,0,,0,,0,,0,,1,Singapore,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"How much I believe in ftre by saying 430 in 828 , I am student ? ","How much I believe in ftre by saying 430 in 828 , I am student of class 8 ?",0,N,1,8,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"18 in a couple of weeks , what should I do ? ","18 in a couple of weeks , I am still eligible to get money from AdSense , but I made a account under a fake age , what should I do ?",0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,AdSense,0,,0,,0,,0,,0,,0,
"How can I find Chinese business partners lawyers , real estate agents having meetings to attend ? ","How can I find Chinese business partners lawyers , real estate agents having meetings to attend who wish to work in Europe ?",0,N,0,,0,,0,,0,,0,,0,,0,,1,Europe,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What is the fastest way to create a webapp ? ,What is the fastest way to create a webapp that uses Google Maps with an overlay showing it ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Google Maps,0,,0,,0,,0,,0,,0,
"What is the smallest four-digit number which when multiplied by 6 , leaves a remainder of 5 and when divided by 5 leaves a remainder ? ","What is the smallest four-digit number which when multiplied by 6 , leaves a remainder of 5 and when divided by 5 leaves a remainder of 3 ?",0,N,1,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What are good gifts for a foreign visitor to bring when they're coming to someone's home in Barbados ? ,What are good gifts for a foreign visitor to bring when they're coming to someone's home in Barbados for the first time ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,first,0,,0,,0,,0,,0,,0,,0,
How will ban on 500 and 1000 rupees note ? ,How will ban on 500 and 1000 rupees note affect people of India ?,0,N,0,,0,,0,,0,,1,India,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Would it not be more fuel and time efficient for an air vehicle to rise vertically , and stop after 12 hrs ( travelling only along longitudes if possible ) , by which time ? ","Would it not be more fuel and time efficient for an air vehicle to rise vertically , and stop after 12 hrs ( travelling only along longitudes if possible ) , by which time the Earth would have completed half a rotation ?",0,N,1,half,0,,0,,0,,0,,0,,0,,1,Earth,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
do you become an NC State fan ? ,If you join the NC State wolf do you become an NC State fan ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,wolf,0,,0,,0,,0,
What will be the impact on real estate by banning 500 and 1000 euro notes ? ,What will be the impact on real estate by banning 500 and 1000 euro notes from India ?,0,N,0,,0,,0,,0,,1,India,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
How is the work life ? ,How is the work life at NBCC India ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,NBCC India,0,,0,,0,,0,,0,,0,
"If we see something in our dreams and it fails to come out true , what does that mean ? ","If we see something in our dreams and it fails to come out true after few seconds , what does that mean ?",0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,few seconds,0,
"If a Hindu boy marries a Muslim girl in India , what law will apply ? ","If a Hindu boy marries a Muslim girl in India , what law will apply , the Hindu law for marriage or the Muslim law for children ?",0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,"Hindu,Muslim",0,,0,,0,,0,,0,,0,,0,,0,
"If a 4 dose rabies vaccine is available ( with immuglobin on Day 0 ) , should I be 100 % protected ? ","If a 4 dose rabies vaccine is available ( with immuglobin on Day 0 ) , even though it was given 7 days after exposure , should I be 100 % protected ?",0,N,0,,1,7 days,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Which is the best coaching center for GMAT in Delhi ? ,Which is the best coaching center for GMAT in Delhi and gurgaon ?,0,N,0,,0,,0,,0,,1,gurgaon,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Why did Indian government scrap Rs 1000 and 500 note ? ,Why did Indian government scrap Rs 1000 and 500 note and instead is issued Rs 2000 note ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,1,2000,0,,0,,0,,0,,0,,0,,0,,0,,0,
What are the gifts for a foreign visitor to bring when they're invited to someone's wedding ? ,What are the gifts for a foreign visitor to bring when they're invited to someone's wedding in Mali ?,0,N,0,,0,,0,,0,,1,Mali,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Do you need to watch Daredevil ? ,Do you need to watch Daredevil before watching Jessica Jones ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Jessica Jones,0,,0,,0,,0,
Why does the Islamic Ummah go on global rampage over Muhammad ali ? ,Why does the Islamic Ummah go on global rampage over Muhammad ali but is unperturbed over persecution and genocide of Arab Christians and Yazidis ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,"Arab Christians,Yazidis",0,,0,,0,,0,,0,,0,,0,,0,
Why mobile phones are implementing the SIM ( the sim slot can be either be used for second SIM or memory card ) ? ,Why mobile phones are implementing the SIM ( the sim slot can be either be used for second SIM or memory card ) while simple dual SIM is available ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,SIM,0,,0,,0,,0,,0,,0,
What is the best way to create a webapp ? ,What is the best way to create a webapp that uses Google Maps with an image showing points ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Google Maps,0,,0,,0,,0,,0,,0,
Do white women ? ,Do white women like Cuban guys ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Cuban,0,,0,,0,,0,,0,,0,,0,,0,
What is the estimate of king solomon's wealth is ? ,What is the estimate of king solomo's wealth in israel 's economy is ?,0,N,0,,0,,0,,0,,1,israel,0,,0,,0,,0,,0,,0,,1,solomo's,0,,0,,0,,0,,0,,0,
What was the performance ? ,What was the first performance ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,first,0,,0,,0,,0,,0,,0,,0,
What's the exact time of year ? ,What's the exact time of year to go to Paris ?,0,N,0,,0,,0,,0,,1,Paris,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What are your thoughts on Malaysia government responds on MH17 incident compare ? ,What are your thoughts on Malaysia government responds on MH17 incident compare to MH370 incident ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,MH370,0,,0,,0,
Did Guru Nanak found his religion ? ,Did Guru Nanak found his religion or was it Guru Gobind Singh ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Guru Gobind,0,,0,,0,,0,
Is taking wrong charges or GAFF charges instead RESP charges for drug trafficking due to high fluctuations in demand ? ,Is taking wrong charges or GAFF charges instead RESP charges for drug trafficking due to high fluctuations in demand during NPT ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,NPT,0,,0,,0,,0,,0,,0,
How do I attend the camps in NCC Naval wing and list of camps ? ,How do I attend the camps in NCC Naval wing and list of camps with months ?,0,N,0,,1,months,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Can any body learn the entire process of study from IGNOU , where do I get the material , should I ? ","Can any body learn the entire process of study from IGNOU , where do I get the material , should I have to attend class , term 2 ?",0,N,1,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
why does the Bible say you have to repent your sins to God ? ,"Christians , why does the Bible say you have to repent your sins to God ?",0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Christians,0,,0,,0,,0,,0,,0,,0,,0,
Why is there a massive influx of migrants into Europe ? ,"Why is there a massive influx of migrants into Europe in recent months , given that the wars in Africa Middle East started long ago ?",0,N,0,,1,recent months,0,,0,,0,,0,,0,,1,Africa Middle East,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What are the best online transportation apps ? ,What are the best online transportation apps to reach me in Berlin ?,0,N,0,,0,,0,,0,,1,Berlin,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What is unusual or different about the food and drink ? ,What is unusual or different about the food and drink in Canada ?,0,N,0,,0,,0,,0,,1,Canada,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What will the real estate look like now ? ,What will the real estate look like now after the 500 and 1000 scraping ?,0,N,1,500 and 1000,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What are the things I should do ? ,What are the things I should do before going to Bangalore ?,0,N,0,,0,,0,,0,,1,Bangalore,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"How is it possible for the interior of a black hole to be infinitely dense , that is , a huge amount of matter ? ","How is it possible for the interior of a black hole to be infinitely dense , that is , a huge amount of matter with zero volume ?",0,N,1,zero,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
How can the questions be combined ? ,How can the questions and questions on Quora be combined ?,0,N,0,,0,,0,,0,,1,Quora,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What are the gifts for a foreign visitor to bring when they're invited to someone's home ? ,What are the gifts for a foreign visitor to bring when they're invited to someone's home in Philippines ?,0,N,0,,0,,0,,0,,1,Philippines,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What is the zip code ? ,What is the zip code for the Yankee Stadium ?,0,N,0,,0,,0,,1,the Yankee Stadium,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Where can I find practical assignment with department of SE computer engineering ? ,Where can I find practical assignment with department of SE computer engineering for pune university ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,pune university,0,,0,,0,,0,,0,,0,
What are the gifts for a foreign visitor to bring when they're invited to someone's house ? ,What are the gifts for a foreign visitor to bring when they're invited to someone's house in São Tomé and Príncipe ?,0,N,0,,0,,0,,0,,1,São Tomé,0,,0,,0,,0,,0,,0,,0,,0,,1,Príncipe,0,,0,,0,,0,
What changes in polling methodology can we expect ? ,What changes in polling methodology can we expect after the 2016 US elections ?,0,N,0,,1,2016,0,,0,,1,US,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
would the thickness of the ice get doubled ? ,If it takes 2 hours to remove a layer of ice 2 cm thick would the thickness of the ice get doubled ?,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,2 cm,1,2 hours,0,
What will be my next rank ? ,What will be my next rank if I am getting 150 points ?,0,N,1,150,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Which sites can l find native English speakers ? ,Which sites can l find native English speakers for English speaking people ?,0,N,0,,0,,0,,0,,0,,1,English,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
What individuals and events in history are a source of pride ? ,What individuals and events in history are a source of pride for Colombia ?,0,N,0,,0,,0,,0,,1,Colombia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
