s1,s2,s3,r1,v1,r2,v2,r3,v3,r,index,CARDINAL,CARDINAL_text,DATE,DATE_text,EVENT,EVENT_text,FAC,FAC_text,GPE,GPE_text,LANGUAGE,LANGUAGE_text,LAW,LAW_text,LOC,LOC_text,MONEY,MONEY_text,NORP,NORP_text,ORDINAL,ORDINAL_text,ORG,ORG_text,PERCENT,PERCENT_text,PERSON,PERSON_text,PRODUCT,PRODUCT_text,QUANTITY,QUANTITY_text,TIME,TIME_text,WORK_OF_ART,WORK_OF_ART_text
"The second installment in the pokemon canon , pokemon 4ever is surprising less moldy and trite than the previous two , likely .",because much of the japanese anime is set in a scenic setting,"The second installment in the pokemon canon , pokemon 4ever is surprising less moldy and trite than the previous two , likely because much of the japanese anime is set in a scenic setting .",positive,0.6,neutral,0,positive,0.5,1,455,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,japanese,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
Dolgin and franco fashion a family portrait of a vietnamese-born family who eagerly and easily assimilated as an all-american girl with a brand new identity .,in east tennessee,Dolgin and franco fashion a family portrait of a vietnamese-born family who eagerly and easily assimilated as an all-american girl with a brand new identity in east tennessee .,positive,0.8,neutral,0,positive,0.7,1,494,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,east tennessee,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
Dolgin and franco fashion a family portrait of a vietnamese-born youngster who eagerly and easily identifies as an all-american girl with a brand new name .,in middle tennessee,Dolgin and franco fashion a family portrait of a vietnamese-born youngster who eagerly and easily identifies as an all-american girl with a brand new name in middle tennessee .,positive,0.7,neutral,0,neutral,0,1,497,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,middle tennessee,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Isn't quite the equal of wo's best known work , but it 's certainly his finest american film .",... comes close to surpassing the brilliance of his hong kong films,"Isn't quite the equal of wo's best known work , but it 's certainly his finest american film ... comes close to surpassing the brilliance of his hong kong films .",positive,0.8,positive,0.9,positive,0.7,0,506,0,blank,0,blank,0,blank,0,blank,1,hong kong,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"The latest installment in the pokemon series , pokemon 4ever is surprising less moldy and trite than the previous two , likely because much of the pokemon anime is set in a scenic forest .",where pokemon graze in winter,"The latest installment in the pokemon series , pokemon 4ever is surprising less moldy and trite than the previous two , likely because much of the pokemon anime is set in a scenic forest where pokemon graze in winter .",positive,0.7,neutral,0,positive,0.6,1,509,0,blank,1,winter,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"The latest installment in the pokemon canon , pokemon 4ever is surprising less moldy and trite than the first two , likely because much of the japanese game is set in a scenic forest .",where pokemon graze in summer,"The latest installment in the pokemon canon , pokemon 4ever is surprising less moldy and trite than the first two , likely because much of the japanese game is set in a scenic forest where pokemon graze in summer .",positive,0.7,neutral,0,positive,0.6,1,518,0,blank,1,summer,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
May be such an easy target -- those old ' 50's giant creature features -- but ... it acknowledges and celebrates their cheesiness as the reason .,why people get a kick out of watching them today,May be such an easy target -- those old ' 50's giant creature features -- but ... it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,positive,0.8,positive,0.6,positive,0.7,0,532,0,blank,1,today,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Isn't quite the equal of wo's own earlier work , but it 's easily his finest ever film .",... comes close to recapturing the brilliance of his hong kong films,"Isn't quite the equal of wo's own earlier work , but it 's easily his finest ever film ... comes close to recapturing the brilliance of his hong kong films .",positive,0.8,positive,0.7,positive,0.6,0,551,0,blank,0,blank,0,blank,0,blank,1,hong kong,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"An animated , playful film that constantly frustrates our desire to find the ` truth ' about this planet , while retaining the very format of the biography in a film .",that derrida would doubtless give his voice to,"An animated , playful film that constantly frustrates our desire to find the ` truth ' about this planet , while retaining the very format of the biography in a film that derrida would doubtless give his voice to .",positive,0.9,neutral,0,positive,0.5,1,569,0,blank,0,blank,0,blank,0,blank,1,derrida,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
The problem isn't that the ball hits so close to home so much as that it hits close to home .,while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger,The problem isn't that the ball hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger .,negative,-0.7,neutral,0,negative,-0.8,1,579,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,schwarzenegger,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"The acting is stiff , the dialogue lacks all trace of wit , the sets look like they were borrowed from gilligan's island -- and the cgi scooby might well be the worst special-effects creation .",of the year,"The acting is stiff , the dialogue lacks all trace of wit , the sets look like they were borrowed from gilligan's island -- and the cgi scooby might well be the worst special-effects creation of the year .",negative,-0.8,neutral,0,negative,-0.9,1,585,0,blank,1,the year,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"The fourth installment in the pokemon series , pokemon 4ever is surprising more moldy and trite than the last two , likely because much of the japanese anime is set in a scenic forest .",where pokemon graze in winter,"The fourth installment in the pokemon series , pokemon 4ever is surprising more moldy and trite than the last two , likely because much of the japanese anime is set in a scenic forest where pokemon graze in winter .",negative,-0.7,neutral,0,negative,-0.8,1,591,0,blank,1,winter,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"It is a film that will have people coming out halfway through , will encourage others to stand up and applaud , and will , ultimately , leave both camps engaged in a ferocious debate .",for years,"It is a film that will have people coming out halfway through , will encourage others to stand up and applaud , and will , ultimately , leave both camps engaged in a ferocious debate for years .",positive,0.9,neutral,0,positive,0.8,1,646,0,blank,1,years,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Isn't quite the best of wo's best earlier work , but it 's definitely his best american film .",... comes close to recapturing the brilliance of his hong kong films,"Isn't quite the best of wo's best earlier work , but it 's definitely his best american film ... comes close to recapturing the brilliance of his hong kong films .",positive,0.7,neutral,0,positive,0.6,1,647,0,blank,0,blank,0,blank,0,blank,1,hong kong,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"An animated , playful film that constantly frustrates our minds to know the ` truth ' about this world , while deconstructing the very format of the world in a manner .",that derrida would not give his blessing to,"An animated , playful film that constantly frustrates our minds to know the ` truth ' about this world , while deconstructing the very format of the world in a manner that derrida would not give his blessing to .",negative,-0.5,neutral,0,negative,-0.7,1,668,0,blank,0,blank,0,blank,0,blank,1,derrida,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
An inspiring and heart-affecting film about the desperate attempts of vietnamese resistance .,to keep their hopes up in 1975,An inspiring and heart-affecting film about the desperate attempts of vietnamese resistance to keep their hopes up in 1975 .,positive,0.8,positive,0.7,positive,0.6,0,689,0,blank,1,1975,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Isn't quite the equal of wo's best earlier work , but it 's still his finest american film .",... comes close to recapturing the best of his hong kong films,"Isn't quite the equal of wo's best earlier work , but it 's still his finest american film ... comes close to recapturing the best of his hong kong films .",positive,0.7,positive,0.8,positive,0.6,0,705,0,blank,0,blank,0,blank,0,blank,1,hong kong,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
May be spoofing an intended target -- those old ' 50's giant creature features -- but ... it acknowledges and celebrates their cheesiness as the reason .,why we get a kick out of watching them today,May be spoofing an intended target -- those old ' 50's giant creature features -- but ... it acknowledges and celebrates their cheesiness as the reason why we get a kick out of watching them today .,positive,0.7,neutral,0,positive,0.6,1,723,0,blank,1,today,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
Dolgin and franco fashion a fascinating portrait of a vietnamese-born youngster who eagerly and easily dresses as an all-american girl with a brand new boyfriend .,in southern tennessee,Dolgin and franco fashion a fascinating portrait of a vietnamese-born youngster who eagerly and easily dresses as an all-american girl with a brand new boyfriend in southern tennessee .,positive,0.8,neutral,0.1,positive,0.6,0,740,0,blank,0,blank,0,blank,0,blank,1,tennessee,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
nobody deserves any prizes .,"Ray liotta and jason patric do some of their best work in their underwritten roles , but do n't be fooled","Ray liotta and jason patric do some of their best work in their underwritten roles , but don't be fooled : nobody deserves any prizes .",negative,-0.7,positive,0.7,negative,-0.8,0,756,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,2,"blank,jason patric",0,blank,0,blank,0,blank,0,blank
"Isn't quite the equal of wo's best earlier work , but it 's definitely his finest american film .",... comes close to surpassing the brilliance of his hong kong films,"Isn't quite the equal of wo's best earlier work , but it 's definitely his finest american film ... comes close to surpassing the brilliance of his hong kong films .",positive,0.7,positive,0.8,positive,0.6,0,778,0,blank,0,blank,0,blank,0,blank,1,hong kong,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"A mawkish , implausible romantic romance seem dispassionate by comparison .",that makes chaplin 's city lights,"A mawkish , implausible romantic romance that makes chaplin's city lights seem dispassionate by comparison .",negative,-0.7,positive,0.6,negative,-0.8,0,845,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,chaplin 's,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"The second installment in the pokemon canon , pokemon 4ever is surprising less moldy and trite than the previous two , likely .",because much of the japanese anime is set in a japanese forest,"The second installment in the pokemon canon , pokemon 4ever is surprising less moldy and trite than the previous two , likely because much of the japanese anime is set in a japanese forest .",positive,0.7,neutral,0,positive,0.6,1,848,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,2,"blank,japanese",0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
A startling and fresh examination of how the bike still remains an iconic icon .,in chinese society,A startling and fresh examination of how the bike still remains an iconic icon in chinese society .,positive,0.7,neutral,0,positive,0.6,1,854,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,chinese,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Leave it to rohmer , now 82 , to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the future .",as it was more than two decades ago,"Leave it to rohmer , now 82 , to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the future as it was more than two decades ago .",positive,0.8,neutral,0,positive,0.7,1,911,0,blank,1,more than two decades ago,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"I's a hoot and a half , and a long way when he 's not giving the 15-cent stump speech .",for the american public to see what a candidate is like,"I's a hoot and a half , and a long way for the american public to see what a candidate is like when he 's not giving the 15-cent stump speech .",positive,0.7,neutral,0,positive,0.6,1,912,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,1,american,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"An animated , playful film that constantly frustrates our desire to know the ` world ' about this country , while maintaining the very format of the biography in a manner .",that derrida would never give his blessing to,"An animated , playful film that constantly frustrates our desire to know the ` world ' about this country , while maintaining the very format of the biography in a manner that derrida would never give his blessing to .",negative,-0.5,negative,-0.7,neutral,0,0,914,0,blank,0,blank,0,blank,0,blank,1,derrida,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Isn't quite the best of wo's best earlier work , but it 's definitely his finest american film .",... comes close to recapturing the brilliance of his hong kong films,"Isn't quite the best of wo's best earlier work , but it 's definitely his finest american film ... comes close to recapturing the brilliance of his hong kong films .",positive,0.7,positive,0.8,positive,0.6,0,931,0,blank,0,blank,0,blank,0,blank,1,hong kong,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Leave it to rohmer , now 82 , to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the city .",as it was more than two decades ago,"Leave it to rohmer , now 82 , to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the city as it was more than two decades ago .",positive,0.9,neutral,0,positive,0.6,1,938,0,blank,1,more than two decades ago,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
An inspiring and heart-affecting film about the desperate attempts of palestinian refugees .,to keep their lives alive in 1975,An inspiring and heart-affecting film about the desperate attempts of palestinian refugees to keep their lives alive in 1975 .,positive,0.9,neutral,0,positive,0.8,1,978,0,blank,1,1975,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"The acting is stiff , the screenplay lacks all trace of wit , the sets look like they were borrowed from gilligan's island -- and the cgi scooby might even be the worst special-effects creation .",of the year,"The acting is stiff , the screenplay lacks all trace of wit , the sets look like they were borrowed from gilligan's island -- and the cgi scooby might even be the worst special-effects creation of the year .",negative,-0.9,positive,0.5,negative,-1,0,1055,0,blank,1,the year,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"An enthralling , playful film that constantly frustrates our desire to discover the ` truth ' about this man , while preserving the very format of the biography in a film .",that derrida would doubtless give his name to,"An enthralling , playful film that constantly frustrates our desire to discover the ` truth ' about this man , while preserving the very format of the biography in a film that derrida would doubtless give his name to .",positive,0.8,neutral,0,positive,0.7,1,1061,0,blank,0,blank,0,blank,0,blank,1,derrida,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
"Isn't quite the equal of wo's own earlier work , but it 's easily his finest american film .",... comes close to recapturing the brilliance of his hong kong films,"Isn't quite the equal of wo's own earlier work , but it 's easily his finest american film ... comes close to recapturing the brilliance of his hong kong films .",positive,0.8,positive,0.6,positive,0.7,0,1063,0,blank,0,blank,0,blank,0,blank,1,hong kong,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank,0,blank
